,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
0,50.0,51.46,51.07,52.55,50.84,51.09,51.73,48.58,52.13,50.17,48.93,51.22,50.05,49.57,52.05,50.88,49.21,48.83,53.01,49.68,49.5,52.2,49.93,50.68,51.64,52.07,50.76,49.67,50.2,53.69,50.72,51.52,49.17,51.98,52.86,50.0,52.76,51.55,51.32,49.25,49.72,50.09,50.97,52.99,51.61,51.49,51.99,50.26,49.33,50.56,51.03,53.7,51.67,50.27,51.27,50.9,48.66,48.91,50.98,51.99,49.13,52.57,48.14,51.93,51.54,51.29,50.87,51.92,49.86,47.89,49.56,51.91,52.08,50.38,50.7,54.09,54.6,49.57,48.1,51.87,51.44,49.81,47.37,51.76,50.61,52.16,50.22,53.2,51.97,51.61,48.76,49.5,53.55,49.95,50.76,51.11,49.99,51.55,50.05,52.47
1,101.95,104.22,102.11,102.11,98.34,105.68,101.16,95.65,98.68,97.48,95.58,103.18,99.39,96.25,103.64,99.77,98.02,93.49,106.57,100.37,91.52,101.8,102.38,105.22,102.36,103.16,101.13,101.82,99.19,104.39,107.22,109.53,98.72,90.2,110.65,97.18,108.81,104.73,99.2,98.62,99.28,94.1,98.14,109.38,101.15,105.08,102.43,104.35,94.68,96.96,103.29,107.87,100.07,99.27,103.74,104.46,99.43,94.8,101.51,100.57,95.42,106.92,99.89,103.42,102.91,102.15,100.31,105.58,95.48,97.53,96.23,106.0,104.09,96.93,98.06,115.13,108.81,97.05,96.93,100.58,105.68,96.55,95.27,103.73,95.29,107.89,105.77,109.74,105.22,104.82,96.13,110.9,102.8,101.56,100.57,104.85,105.8,105.89,106.39,102.34
2,153.49,160.11,152.63,146.48,148.31,160.42,147.75,131.69,155.3,149.87,149.54,151.82,154.12,143.91,151.22,154.1,147.94,148.44,154.21,155.54,151.98,148.53,158.64,158.22,149.95,149.59,141.28,154.59,157.57,157.41,163.53,163.09,150.04,140.34,152.78,138.24,162.5,154.92,139.92,148.85,148.85,145.51,140.75,165.54,155.83,155.37,148.2,148.49,147.21,148.88,155.12,155.83,150.95,150.47,157.48,153.61,160.04,146.98,154.99,154.66,143.71,162.12,150.28,153.12,155.96,152.54,144.38,159.54,143.08,144.58,149.02,160.28,158.0,144.84,154.68,173.16,159.93,146.8,147.09,153.89,141.81,152.42,141.04,159.47,145.74,156.96,165.25,166.6,160.09,154.43,149.94,165.66,151.13,154.7,148.31,158.7,155.39,154.84,164.63,156.74
3,206.56,228.29,210.04,188.97,203.86,208.33,195.51,183.1,217.17,209.4,195.29,201.59,211.13,194.34,197.1,220.18,196.4,196.24,203.42,213.27,201.12,200.29,222.11,201.66,196.12,198.15,186.55,210.26,221.22,206.64,227.64,193.52,153.21,211.43,206.7,202.96,213.24,193.22,183.07,174.33,201.46,190.25,183.81,223.48,202.92,211.14,211.45,191.75,213.1,199.42,211.78,209.5,201.1,191.28,216.48,211.18,213.01,202.03,206.66,208.49,196.63,218.19,194.26,213.09,209.32,205.57,200.71,213.58,207.74,198.87,193.41,217.88,210.5,191.54,194.68,226.29,212.08,194.27,206.39,208.63,189.35,204.85,201.24,218.08,196.54,208.9,221.0,214.63,208.09,211.57,200.2,220.39,201.54,201.84,191.56,215.3,205.71,197.79,221.88,215.48
4,245.07,264.99,260.09,235.03,249.38,246.24,239.6,225.79,282.63,268.8,242.01,257.87,261.72,238.56,249.55,264.82,252.68,238.99,263.03,282.65,236.36,259.08,283.8,240.72,246.29,257.03,239.06,270.12,280.37,261.11,261.78,220.97,179.73,337.78,231.3,273.67,249.89,233.09,236.38,233.32,217.7,236.13,237.82,285.2,258.27,271.81,262.65,238.24,276.9,248.69,271.76,260.84,252.01,243.46,278.04,260.8,255.39,262.35,265.62,262.93,244.94,271.45,226.59,268.94,262.36,259.88,238.02,268.87,264.2,257.49,215.99,264.79,258.36,235.21,237.9,294.66,260.92,244.25,270.28,253.52,251.17,250.53,252.43,279.75,245.73,265.8,272.2,264.97,252.3,272.2,259.69,269.78,256.61,253.54,244.0,274.07,261.64,270.55,271.22,265.16
5,287.13,347.26,309.08,270.16,300.89,300.5,294.17,267.91,334.37,325.4,278.91,315.1,312.79,275.16,299.25,319.55,306.71,296.23,315.33,343.0,282.66,285.82,332.0,280.86,303.2,313.68,303.91,325.36,315.11,317.81,281.15,263.44,200.76,455.76,285.89,336.98,313.44,273.43,294.46,289.28,245.77,297.59,304.02,342.3,323.91,328.67,311.44,299.33,341.67,283.73,328.45,306.99,311.56,284.1,331.84,329.73,304.43,318.3,324.08,310.9,306.56,317.86,244.88,319.5,311.15,295.79,286.28,315.57,323.31,292.08,265.1,309.64,309.84,279.41,289.06,354.47,313.57,296.72,322.23,310.64,321.61,302.91,286.25,335.36,290.07,323.56,332.15,329.01,320.28,332.99,319.37,320.75,302.42,306.05,297.14,334.26,315.53,337.58,321.54,313.18
6,338.19,371.67,368.2,306.51,366.72,362.43,336.27,331.27,399.99,381.93,313.46,364.87,364.48,330.92,331.3,369.6,353.12,338.38,370.5,407.51,333.79,336.58,386.32,321.21,371.15,375.19,370.17,385.01,368.92,401.5,325.14,325.26,265.69,548.37,321.09,408.47,385.95,343.89,414.72,348.71,306.93,367.15,369.2,401.8,384.99,372.07,352.08,372.5,383.8,354.33,352.74,365.14,373.48,340.25,398.66,408.59,374.64,376.7,385.41,376.03,348.59,367.63,302.74,364.85,375.33,346.02,336.2,372.73,373.37,327.56,316.57,357.84,357.91,333.27,300.42,406.05,373.11,350.98,371.79,365.54,389.86,345.59,336.81,387.91,336.78,381.78,375.12,390.73,369.0,393.59,369.86,373.51,359.03,356.15,345.22,397.79,352.74,409.74,388.08,379.56
7,394.74,428.73,430.56,346.33,432.34,428.87,415.98,354.13,471.07,443.7,373.68,396.53,425.51,392.71,382.92,439.06,407.8,378.94,426.97,428.68,370.57,383.91,454.58,374.78,437.46,432.57,438.41,459.72,433.79,478.27,371.59,365.69,477.26,570.44,357.86,490.87,445.81,399.35,469.38,394.26,366.13,417.17,419.09,431.08,430.19,424.86,395.39,415.71,422.79,420.91,429.17,435.46,426.97,393.51,459.2,457.07,423.28,404.34,452.9,424.55,404.38,433.54,363.26,427.29,419.99,404.28,363.78,430.42,415.06,376.35,378.33,401.52,423.22,376.88,337.04,423.97,420.58,392.47,452.49,436.16,455.06,398.55,389.62,427.2,422.19,423.65,434.67,469.06,411.66,464.26,386.72,434.72,412.76,413.2,407.28,449.99,415.03,461.27,407.48,413.29
8,435.75,477.73,482.99,388.24,505.32,481.67,481.7,401.52,517.34,495.75,428.17,423.88,479.67,448.76,434.75,509.1,478.41,410.73,477.31,488.41,437.63,447.05,519.82,429.41,484.87,495.58,497.69,540.43,519.29,550.56,422.85,355.69,581.6,617.26,399.48,553.87,502.81,387.3,497.95,493.18,435.64,470.93,476.56,493.16,474.11,508.78,381.0,455.41,469.35,479.43,498.57,500.4,471.44,425.06,522.95,531.33,458.5,437.19,517.56,456.85,441.88,480.8,410.66,490.97,479.11,470.49,400.29,488.24,481.24,428.89,455.24,462.62,467.38,435.26,348.09,469.75,481.9,437.07,504.3,493.44,519.19,411.11,492.54,492.83,478.65,464.55,472.63,503.22,470.41,516.48,417.61,483.12,464.38,469.36,460.9,518.48,474.35,517.29,435.01,460.47
9,505.09,523.38,517.63,425.77,589.78,540.6,517.32,404.36,576.45,549.63,502.02,478.53,530.54,485.08,486.82,592.2,546.97,438.55,552.86,568.34,490.66,506.47,584.79,474.68,530.33,565.71,537.44,583.36,582.55,538.43,409.43,353.66,547.83,604.53,454.71,621.74,583.34,375.43,611.37,550.51,492.5,502.75,568.22,540.24,539.01,583.83,422.74,520.49,535.68,545.79,574.18,550.29,512.8,491.51,588.28,553.71,503.49,458.3,592.15,507.61,483.49,537.81,447.35,543.55,539.41,533.36,447.59,538.64,545.55,485.2,517.66,502.93,519.42,505.69,407.34,545.41,515.22,476.17,538.72,525.01,587.91,468.84,590.49,546.18,526.28,522.06,522.02,487.53,540.04,567.97,456.63,533.96,508.18,525.69,508.52,573.57,545.86,576.56,491.2,503.92
