,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
0,250.0,257.28,255.35,262.73,254.19,255.45,258.65,242.89,260.65,250.83,244.66,256.08,250.27,247.87,260.26,254.42,246.04,244.13,265.07,248.42,247.48,261.01,249.66,253.42,258.19,260.33,253.81,248.33,251.0,268.47,253.62,257.58,245.85,259.9,264.29,250.0,263.8,257.77,256.58,246.26,248.59,250.47,254.85,264.97,258.06,257.44,259.95,251.32,246.67,252.8,255.14,268.48,258.33,251.34,256.34,254.5,243.28,244.56,254.9,259.96,245.64,262.85,240.7,259.66,257.69,256.43,254.33,259.59,249.32,239.44,247.8,259.55,260.41,251.91,253.51,270.46,273.0,247.85,240.49,259.36,257.19,249.06,236.87,258.79,253.04,260.79,251.09,265.99,259.85,258.05,243.81,247.52,267.74,249.76,253.78,255.53,249.94,257.73,250.26,262.34
1,509.79,521.08,510.53,510.56,491.71,528.39,505.79,478.32,493.43,487.43,477.94,515.88,496.97,481.31,518.17,498.88,490.14,467.56,532.78,501.79,457.7,508.96,511.92,526.07,511.77,515.81,505.64,509.06,495.94,521.96,536.06,547.51,493.59,451.18,553.21,485.93,544.04,523.66,496.02,493.15,496.41,470.6,490.74,546.81,505.76,525.37,512.17,521.72,473.46,484.85,516.45,539.32,500.37,496.36,518.68,522.26,497.18,474.04,507.53,502.86,477.12,534.58,499.45,517.1,514.57,510.76,501.56,527.87,477.45,487.64,481.19,529.98,520.43,484.69,490.35,575.57,544.03,485.27,484.66,502.94,528.38,482.81,476.41,518.62,476.49,539.39,528.8,548.64,526.07,524.08,480.67,554.41,514.02,507.78,502.84,524.22,528.96,529.45,531.93,511.72
2,767.47,800.53,763.12,732.51,741.58,802.06,738.82,658.7,776.42,749.35,747.71,759.11,770.55,719.63,756.11,770.47,739.77,742.28,771.0,777.57,759.83,742.69,793.11,791.03,749.82,748.03,706.57,772.9,787.79,787.05,817.51,815.26,749.98,701.9,763.94,691.38,812.49,774.61,699.81,744.27,744.28,727.65,703.94,827.56,779.11,776.86,741.05,742.53,736.07,744.48,775.58,779.2,754.75,752.35,787.32,768.03,800.15,734.92,774.92,773.29,718.61,810.53,751.4,765.6,779.77,762.71,721.97,797.63,715.46,722.93,745.13,801.35,789.98,724.25,773.4,865.6,799.63,734.04,735.52,769.45,709.26,762.1,705.34,797.28,728.76,784.76,826.11,832.92,800.4,772.15,749.72,828.17,755.69,773.47,741.59,793.43,776.96,774.2,823.12,783.71
3,1032.89,1141.19,1050.12,945.06,1019.22,1041.66,977.66,915.73,1085.54,1046.92,976.55,1007.98,1055.52,971.81,985.5,1100.62,982.17,981.4,1016.98,1066.07,1005.51,1001.41,1110.31,1008.37,980.81,990.92,933.07,1051.24,1105.89,1033.25,1137.89,967.76,767.34,1056.82,1033.5,1014.77,1066.28,966.4,915.66,872.06,1007.33,951.47,919.38,1117.14,1014.63,1055.6,1057.19,958.96,1065.31,997.27,1058.82,1047.53,1005.59,956.57,1082.17,1055.82,1064.96,1010.08,1033.2,1042.42,983.2,1090.81,971.37,1065.4,1046.57,1027.86,1003.56,1067.8,1038.62,994.37,967.11,1089.26,1052.46,957.79,973.51,1131.25,1060.36,971.5,1031.88,1043.12,947.04,1024.21,1006.17,1090.19,982.79,1044.47,1104.85,1073.09,1040.44,1057.82,1001.01,1101.8,1007.72,1009.19,957.9,1076.38,1028.54,988.98,1109.34,1077.34
4,1225.75,1324.93,1300.36,1175.45,1246.77,1231.36,1198.31,1129.4,1412.46,1343.86,1210.19,1289.26,1308.47,1192.99,1247.73,1323.94,1263.58,1195.4,1314.69,1412.49,1182.08,1295.18,1418.54,1203.95,1231.67,1285.2,1195.62,1350.4,1401.51,1305.55,1308.87,1105.41,900.61,1687.13,1156.9,1367.92,1249.74,1166.07,1182.0,1166.94,1089.23,1181.1,1189.28,1425.53,1291.37,1358.83,1313.19,1191.61,1384.04,1243.73,1358.54,1304.29,1260.14,1217.47,1389.79,1303.96,1277.03,1311.59,1327.84,1314.56,1224.81,1357.1,1133.19,1344.56,1311.78,1299.38,1190.3,1344.2,1320.88,1287.38,1080.43,1323.83,1291.79,1176.23,1189.74,1472.84,1304.62,1221.45,1351.17,1267.71,1255.98,1252.73,1262.14,1398.41,1228.77,1328.92,1360.81,1324.79,1261.59,1360.87,1298.41,1348.74,1283.06,1267.72,1220.08,1370.18,1308.16,1352.64,1356.04,1325.77
5,1436.3,1735.84,1545.45,1351.32,1504.34,1502.61,1471.21,1340.16,1671.11,1626.79,1395.03,1575.33,1563.93,1376.3,1496.15,1597.66,1533.9,1481.71,1576.05,1714.01,1413.67,1429.56,1659.75,1404.86,1516.09,1568.44,1519.74,1626.6,1575.56,1589.05,1406.26,1317.87,1006.47,2275.44,1429.91,1684.27,1567.5,1368.13,1472.14,1446.68,1230.15,1488.14,1519.73,1710.92,1619.33,1643.02,1557.17,1496.96,1707.66,1419.44,1641.96,1535.23,1557.75,1420.91,1658.71,1648.35,1522.31,1591.27,1620.03,1554.47,1532.77,1589.18,1225.07,1597.39,1555.73,1479.12,1431.62,1577.78,1616.37,1460.52,1326.0,1548.13,1549.14,1397.31,1445.53,1771.75,1567.86,1483.82,1610.94,1553.24,1607.89,1514.61,1431.63,1676.38,1450.61,1617.61,1660.48,1644.92,1601.35,1664.79,1596.74,1603.61,1512.11,1530.25,1485.76,1671.08,1577.62,1687.7,1607.63,1565.89
6,1691.61,1858.33,1840.95,1533.31,1833.21,1812.15,1681.8,1656.77,1998.91,1909.33,1568.07,1824.19,1822.35,1655.02,1656.81,1847.91,1766.19,1692.81,1851.6,2036.24,1669.32,1683.19,1931.27,1606.86,1855.5,1875.78,1850.8,1924.79,1844.61,2007.18,1626.31,1626.69,1330.23,2737.55,1606.14,2041.37,1929.93,1719.99,2071.67,1743.8,1535.9,1835.52,1845.12,2008.24,1924.56,1860.15,1760.5,1862.53,1918.55,1772.1,1764.42,1825.75,1867.16,1701.55,1992.52,2042.33,1873.16,1883.2,1926.51,1879.98,1743.02,1838.08,1514.31,1824.23,1876.53,1730.29,1681.28,1863.48,1866.69,1638.12,1583.35,1789.19,1789.51,1666.6,1502.99,2029.64,1865.47,1755.15,1858.82,1827.77,1948.88,1728.22,1684.47,1939.15,1684.26,1908.65,1875.45,1953.4,1845.03,1967.66,1849.23,1867.4,1795.12,1780.76,1726.2,1988.62,1763.77,2048.36,1940.25,1897.68
7,1974.53,2143.55,2152.61,1732.59,2160.85,2144.12,2080.14,1771.77,2353.72,2218.19,1869.05,1982.9,2127.32,1963.78,1914.72,2194.9,2039.71,1896.09,2133.61,2142.71,1853.61,1919.94,2272.22,1874.67,2186.72,2162.57,2191.79,2297.93,2168.77,2390.75,1858.64,1828.86,2384.06,2848.41,1790.24,2452.86,2229.34,1996.96,2344.62,1971.78,1831.72,2085.85,2094.27,2155.26,2150.79,2124.19,1977.24,2078.83,2113.79,2104.65,2146.41,2176.79,2134.57,1967.84,2295.07,2284.79,2116.43,2021.78,2263.75,2122.6,2021.94,2167.47,1816.78,2136.32,2099.97,2021.54,1819.5,2151.89,2075.26,1882.1,1892.01,2007.68,2115.95,1884.71,1686.36,2119.85,2102.94,1962.78,2261.83,2180.59,2274.72,1993.08,1948.52,2135.79,2110.79,2118.15,2173.15,2344.79,2058.45,2320.87,1934.0,2173.36,2063.74,2065.9,2036.41,2249.61,2075.17,2306.02,2037.46,2066.46
8,2180.04,2388.78,2414.74,1942.55,2525.34,2408.32,2408.55,2008.81,2585.19,2478.42,2141.45,2120.11,2398.07,2243.95,2173.86,2544.75,2392.57,2055.78,2385.18,2441.18,2188.55,2235.14,2598.37,2147.94,2424.08,2477.56,2488.2,2701.05,2595.83,2752.01,2114.93,1780.36,2903.37,3082.59,1998.47,2767.66,2514.52,1937.76,2487.56,2465.8,2179.1,2354.59,2381.3,2465.46,2370.54,2543.26,1906.35,2277.67,2346.82,2397.23,2493.39,2501.08,2357.09,2126.0,2613.64,2655.85,2292.84,2186.34,2586.82,2284.35,2209.59,2403.84,2053.84,2454.59,2395.5,2352.46,2002.25,2440.91,2406.03,2144.8,2276.21,2313.03,2336.81,2176.6,1742.31,2348.84,2409.45,2186.02,2520.94,2466.97,2595.15,2056.66,2462.13,2463.76,2393.02,2322.84,2363.14,2515.81,2352.15,2582.03,2088.75,2415.41,2321.88,2346.66,2304.51,2591.91,2371.74,2586.12,2175.24,2302.37
9,2526.79,2617.15,2588.18,2130.44,2947.06,2702.83,2587.07,2024.06,2880.57,2747.81,2510.5,2393.3,2652.45,2425.87,2434.0,2959.63,2735.26,2195.79,2761.94,2840.18,2453.46,2532.05,2922.94,2374.45,2651.55,2827.86,2687.36,2916.01,2912.04,2692.33,2049.08,1771.49,2736.85,3020.26,2274.57,3106.95,2917.27,1879.83,3052.45,2752.69,2463.29,2514.28,2838.3,2700.93,2694.81,2918.13,2115.3,2603.07,2678.42,2729.04,2871.41,2750.23,2564.04,2458.05,2940.19,2768.27,2517.74,2292.37,2959.49,2538.2,2417.81,2688.87,2237.55,2717.52,2696.96,2666.73,2238.8,2692.91,2727.46,2426.29,2588.09,2514.72,2597.05,2528.58,2038.42,2726.72,2576.42,2381.85,2693.46,2625.33,2938.5,2345.29,2950.97,2730.48,2631.33,2610.36,2610.11,2438.21,2700.17,2839.54,2284.04,2669.58,2540.94,2628.29,2542.66,2867.34,2729.15,2882.41,2456.19,2519.66
