,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
0,249.9,257.18,255.24,262.63,254.08,255.35,258.54,242.79,260.55,250.73,244.56,255.97,250.17,247.77,260.16,254.32,245.95,244.04,264.97,248.32,247.38,260.91,249.56,253.32,258.08,260.23,253.71,248.23,250.9,268.36,253.52,257.47,245.75,259.79,264.19,249.9,263.7,257.66,256.48,246.16,248.49,250.37,254.75,264.86,257.95,257.34,259.85,251.22,246.57,252.7,255.04,268.37,258.23,251.24,256.24,254.4,243.18,244.47,254.8,259.85,245.54,262.75,240.6,259.55,257.58,256.33,254.23,259.49,249.22,239.34,247.71,259.45,260.31,251.81,253.41,270.36,272.89,247.75,240.39,259.26
1,509.69,520.97,510.43,510.46,491.61,528.28,505.69,478.22,493.33,487.33,477.84,515.77,496.87,481.21,518.06,498.78,490.04,467.46,532.67,501.69,457.61,508.86,511.82,525.97,511.67,515.71,505.54,508.96,495.84,521.85,535.95,547.4,493.49,451.09,553.09,485.83,543.93,523.55,495.91,493.05,496.31,470.51,490.64,546.7,505.66,525.26,512.07,521.62,473.37,484.76,516.34,539.21,500.27,496.26,518.57,522.16,497.08,473.94,507.43,502.76,477.03,534.47,499.35,516.99,514.46,510.66,501.46,527.76,477.36,487.55,481.1,529.87,520.33,484.59,490.25,575.45,543.91,485.17,484.56,502.84
2,767.36,800.42,763.02,732.41,741.48,801.95,738.72,658.61,776.31,749.26,747.61,759.01,770.44,719.54,756.01,770.37,739.67,742.18,770.9,777.47,759.73,742.59,793.0,790.92,749.72,747.93,706.47,772.8,787.68,786.94,817.4,815.15,749.88,701.81,763.84,691.29,812.37,774.5,699.72,744.17,744.18,727.56,703.85,827.45,779.0,776.75,740.95,742.43,735.98,744.38,775.48,779.09,754.65,752.25,787.21,767.93,800.05,734.82,774.81,773.18,718.52,810.42,751.3,765.49,779.66,762.61,721.88,797.52,715.37,722.83,745.03,801.24,789.87,724.15,773.3,865.48,799.51,733.94,735.42,769.34
3,1032.79,1141.07,1050.01,944.96,1019.12,1041.56,977.56,915.65,1085.43,1046.81,976.46,1007.88,1055.41,971.71,985.4,1100.51,982.08,981.31,1016.87,1065.96,1005.41,1001.31,1110.2,1008.26,980.71,990.82,932.97,1051.13,1105.77,1033.14,1137.77,967.66,767.27,1056.71,1033.39,1014.67,1066.17,966.3,915.57,871.98,1007.23,951.38,919.29,1117.01,1014.53,1055.49,1057.08,958.86,1065.2,997.17,1058.71,1047.42,1005.48,956.47,1082.06,1055.71,1064.86,1009.99,1033.09,1042.31,983.1,1090.69,971.28,1065.29,1046.47,1027.76,1003.46,1067.68,1038.51,994.27,967.01,1089.14,1052.35,957.7,973.41,1131.13,1060.24,971.41,1031.78,1043.01
4,1225.65,1324.82,1300.25,1175.36,1246.67,1231.26,1198.21,1129.31,1412.35,1343.75,1210.1,1289.15,1308.36,1192.9,1247.63,1323.83,1263.48,1195.31,1314.57,1412.38,1181.99,1295.08,1418.42,1203.85,1231.57,1285.09,1195.52,1350.29,1401.39,1305.44,1308.76,1105.31,900.55,1686.99,1156.8,1367.81,1249.63,1165.97,1181.91,1166.85,1089.15,1181.01,1189.18,1425.41,1291.27,1358.72,1313.08,1191.51,1383.93,1243.63,1358.42,1304.18,1260.04,1217.37,1389.67,1303.85,1276.93,1311.49,1327.73,1314.45,1224.71,1356.99,1133.1,1344.45,1311.67,1299.27,1190.21,1344.08,1320.78,1287.28,1080.34,1323.71,1291.68,1176.14,1189.64,1472.7,1304.51,1221.36,1351.06,1267.6
5,1436.2,1735.72,1545.34,1351.22,1504.24,1502.5,1471.12,1340.08,1670.99,1626.68,1394.94,1575.22,1563.83,1376.21,1496.05,1597.55,1533.8,1481.62,1575.94,1713.89,1413.58,1429.46,1659.63,1404.77,1515.98,1568.33,1519.64,1626.49,1575.45,1588.93,1406.15,1317.78,1006.41,2275.28,1429.81,1684.16,1567.39,1368.03,1472.05,1446.59,1230.07,1488.04,1519.63,1710.79,1619.22,1642.91,1557.06,1496.86,1707.54,1419.34,1641.84,1535.12,1557.65,1420.81,1658.59,1648.23,1522.21,1591.16,1619.92,1554.36,1532.67,1589.06,1224.99,1597.28,1555.62,1479.02,1431.52,1577.66,1616.26,1460.42,1325.91,1548.02,1549.03,1397.22,1445.43,1771.61,1567.74,1483.72,1610.83,1553.13
6,1691.51,1858.21,1840.84,1533.22,1833.1,1812.04,1681.71,1656.69,1998.78,1909.22,1567.98,1824.08,1822.24,1654.93,1656.71,1847.8,1766.09,1692.72,1851.49,2036.12,1669.22,1683.09,1931.15,1606.76,1855.39,1875.67,1850.69,1924.67,1844.5,2007.06,1626.21,1626.6,1330.17,2737.38,1606.04,2041.25,1929.81,1719.89,2071.55,1743.71,1535.82,1835.42,1845.01,2008.11,1924.45,1860.04,1760.4,1862.42,1918.44,1772.0,1764.31,1825.64,1867.05,1701.45,1992.4,2042.21,1873.05,1883.09,1926.4,1879.86,1742.92,1837.96,1514.23,1824.12,1876.42,1730.19,1681.18,1863.36,1866.58,1638.03,1583.26,1789.08,1789.4,1666.51,1502.91,2029.5,1865.35,1755.05,1858.71,1827.66
7,1974.43,2143.43,2152.5,1732.5,2160.74,2144.01,2080.03,1771.69,2353.59,2218.08,1868.96,1982.8,2127.21,1963.69,1914.62,2194.78,2039.61,1896.0,2133.49,2142.6,1853.53,1919.84,2272.1,1874.57,2186.61,2162.45,2191.68,2297.81,2168.65,2390.61,1858.54,1828.77,2383.97,2848.24,1790.14,2452.74,2229.21,1996.86,2344.5,1971.69,1831.64,2085.74,2094.17,2155.13,2150.68,2124.08,1977.13,2078.73,2113.68,2104.55,2146.29,2176.67,2134.45,1967.74,2294.94,2284.66,2116.32,2021.68,2263.63,2122.49,2021.84,2167.35,1816.69,2136.21,2099.86,2021.44,1819.41,2151.77,2075.15,1882.01,1891.93,2007.57,2115.83,1884.62,1686.28,2119.72,2102.82,1962.69,2261.72,2180.48
8,2179.94,2388.66,2414.63,1942.47,2525.22,2408.2,2408.44,2008.73,2585.06,2478.3,2141.37,2120.01,2397.96,2243.85,2173.76,2544.62,2392.47,2055.7,2385.06,2441.06,2188.46,2235.04,2598.24,2147.85,2423.96,2477.44,2488.09,2700.92,2595.7,2751.87,2114.83,1780.28,2903.27,3082.43,1998.38,2767.53,2514.39,1937.67,2487.45,2465.7,2179.01,2354.49,2381.19,2465.33,2370.43,2543.14,1906.26,2277.56,2346.71,2397.12,2493.27,2500.96,2356.98,2125.91,2613.51,2655.72,2292.73,2186.24,2586.7,2284.24,2209.49,2403.71,2053.76,2454.47,2395.38,2352.35,2002.17,2440.79,2405.93,2144.71,2276.12,2312.91,2336.7,2176.5,1742.24,2348.71,2409.33,2185.93,2520.83,2466.85
9,2526.69,2617.03,2588.07,2130.36,2946.93,2702.72,2586.97,2023.99,2880.44,2747.69,2510.4,2393.2,2652.33,2425.78,2433.9,2959.5,2735.15,2195.7,2761.81,2840.05,2453.36,2531.94,2922.81,2374.35,2651.44,2827.74,2687.25,2915.89,2911.91,2692.2,2048.99,1771.42,2736.76,3020.11,2274.48,3106.81,2917.14,1879.75,3052.33,2752.58,2463.2,2514.18,2838.18,2700.8,2694.69,2918.0,2115.21,2602.97,2678.31,2728.93,2871.29,2750.1,2563.94,2457.95,2940.06,2768.15,2517.64,2292.28,2959.36,2538.09,2417.71,2688.74,2237.47,2717.4,2696.84,2666.62,2238.71,2692.79,2727.34,2426.2,2588.0,2514.61,2596.93,2528.48,2038.35,2726.58,2576.31,2381.76,2693.35,2625.22
10,3003.26,2937.29,2737.42,2397.86,3379.51,2944.93,2903.75,2152.3,3353.29,2992.94,2768.0,2759.63,2880.79,2619.8,2695.26,3333.08,3066.22,2259.57,3105.01,3012.34,2580.08,2945.17,3029.31,2715.47,3076.12,3185.04,2987.14,3248.83,3384.48,2173.76,2142.28,2060.82,2974.54,3360.45,2604.26,3681.35,3264.79,1953.49,3315.76,2959.91,2788.94,2650.7,3152.87,2826.3,2935.37,3281.09,2363.99,2831.38,2778.81,3035.84,3132.14,2931.26,2915.37,2779.86,3326.1,3230.06,2747.02,2495.84,3315.16,2806.07,2761.19,3078.16,2665.4,2957.79,2973.86,2947.39,2619.9,2857.57,3029.84,2702.17,2843.06,2643.41,2995.68,2588.0,2372.67,3036.3,2815.34,2656.62,2782.98,2865.02
11,3459.98,3145.86,2927.89,2780.77,3675.63,3282.34,3135.0,2537.31,3697.29,3291.82,2945.7,3034.76,3030.46,2879.27,2831.54,3603.25,3197.65,2443.12,3307.08,3181.4,2592.68,3323.76,3286.52,3079.9,3519.42,3503.86,3323.5,3592.81,3659.02,2528.54,2243.79,1893.81,3137.52,3692.95,2883.42,3942.41,3465.53,2179.9,3473.19,3146.27,2929.18,2729.77,3437.12,3129.55,3266.89,3601.6,2701.53,3046.13,3023.18,3390.98,3387.92,3294.03,3306.25,3084.2,3751.93,3522.31,3050.14,2753.71,3641.43,3161.04,3091.29,3366.28,3049.21,3283.83,3175.39,3190.1,2889.65,3203.4,3321.34,2803.49,3313.08,3099.51,3320.05,2644.81,2462.55,3246.81,3180.42,2903.46,3090.05,3250.69
12,3841.55,3490.18,3361.05,3105.13,4033.7,3675.42,3310.43,2931.54,3984.95,3488.98,3297.32,3312.59,3276.6,3283.17,3160.75,3817.22,3393.46,2886.8,3565.57,3423.7,2995.26,3597.36,3611.78,3465.88,3951.92,3836.34,3575.12,3882.54,4220.04,2839.75,2592.55,2134.71,3551.64,4192.76,3156.34,4446.76,3854.3,2518.35,3690.09,3401.33,3211.96,3066.94,3936.31,3513.39,3645.92,4027.5,2989.02,3277.67,3336.7,3746.34,3938.53,3689.55,3601.34,3444.98,4098.72,3692.66,3249.03,3084.0,4067.36,3370.97,3533.2,3500.57,3446.63,3662.11,3532.67,3518.84,3279.97,3463.29,3439.4,3046.02,3719.92,3508.29,3615.93,2954.72,2957.17,3840.9,3422.43,3056.9,3489.93,3626.69
