,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984
0,248.75,255.99,254.07,261.42,252.91,254.18,257.35,241.67,259.35,249.58,243.44,254.8,249.02,246.63,258.96,253.15,244.81,242.91,263.75,247.18,246.24,259.71,248.41,252.15,256.9,259.03,252.54,247.09,249.75,267.12,252.35,256.29,244.62,258.6,262.97,248.75,262.48,256.48,255.3,245.03,247.34,249.22,253.58,263.64,256.77,256.16,258.65,250.07,245.44,251.53,253.86,267.14,257.04,250.09,255.06,253.23,242.06,243.34,253.62,258.66,244.41,261.54,239.49,258.36,256.4,255.15,253.06,258.29,248.07,238.24,246.57,258.25,259.11,250.66,252.24,269.11,271.63,246.61,239.28,258.07,255.9,247.82,235.69,257.49,251.78
1,508.51,519.76,509.24,509.25,490.47,527.05,504.5,477.13,492.17,486.21,476.75,514.57,495.72,480.11,516.84,497.62,488.92,466.4,531.41,500.54,456.56,507.66,510.64,524.74,510.47,514.5,504.37,507.79,494.7,520.6,534.71,546.12,492.36,450.03,551.79,484.71,542.64,522.32,494.76,491.92,495.17,469.42,489.5,545.4,504.47,524.04,510.86,520.41,472.29,483.63,515.14,537.92,499.1,495.11,517.36,520.94,495.95,472.86,506.25,501.57,475.94,533.2,498.22,515.78,513.26,509.46,500.29,526.52,476.26,486.45,479.99,528.62,519.1,483.47,489.11,574.08,542.61,484.06,483.47,501.66,527.04,481.6,475.24,517.29,475.29
2,766.18,799.15,761.82,731.24,740.33,800.68,737.56,657.63,775.1,748.11,746.49,757.81,769.26,718.45,754.81,769.17,738.55,741.08,769.65,776.28,758.6,741.41,791.77,789.68,748.54,746.75,705.37,771.61,786.47,785.67,816.1,813.84,748.74,700.74,762.59,690.23,811.05,773.28,698.63,743.04,743.04,726.46,702.76,826.1,777.78,775.52,739.78,741.27,734.87,743.23,774.26,777.82,753.47,751.1,785.97,766.72,798.83,733.72,773.6,771.97,717.44,809.11,750.17,764.28,778.43,761.41,720.76,796.25,714.29,721.75,743.9,799.96,788.61,723.05,772.11,864.03,798.2,732.83,734.32,768.14,708.04,760.85,704.21,795.91,727.56
3,1031.58,1139.7,1048.77,943.84,1017.94,1040.3,976.41,914.66,1084.14,1045.61,975.36,1006.68,1054.19,970.62,984.22,1099.22,980.96,980.21,1015.62,1064.72,1004.28,1000.12,1108.89,1007.06,979.54,989.64,931.9,1049.91,1104.48,1031.87,1136.39,966.47,766.39,1055.53,1032.12,1013.53,1064.84,965.14,914.52,870.98,1006.08,950.31,918.24,1115.61,1013.32,1054.23,1055.83,957.74,1064.01,996.02,1057.45,1046.12,1004.3,955.36,1080.76,1054.46,1063.63,1008.86,1031.87,1041.08,982.01,1089.35,970.18,1064.02,1045.22,1026.54,1002.3,1066.39,1037.35,993.17,965.92,1087.82,1051.08,956.61,972.28,1129.66,1058.91,970.31,1030.63,1041.77,945.83,1022.93,1004.98,1088.76,981.58
4,1224.49,1323.51,1299.01,1174.25,1245.52,1230.06,1197.09,1128.35,1410.98,1342.51,1209.02,1287.93,1307.14,1191.83,1246.44,1322.57,1262.34,1194.25,1313.28,1411.04,1180.93,1293.85,1417.05,1202.69,1230.41,1283.87,1194.44,1349.02,1400.06,1304.15,1307.45,1104.23,899.76,1685.46,1155.65,1366.58,1248.37,1164.86,1180.84,1165.81,1088.15,1179.95,1188.11,1423.94,1290.03,1357.4,1311.83,1190.4,1382.67,1242.49,1357.11,1302.87,1258.85,1216.26,1388.32,1302.6,1275.74,1310.31,1326.47,1313.19,1223.62,1355.63,1132.08,1343.15,1310.4,1298.04,1189.11,1342.76,1319.59,1286.14,1079.37,1322.4,1290.42,1175.08,1188.54,1471.14,1303.18,1220.26,1349.85,1266.39,1254.71,1251.47,1260.94,1396.92,1227.56
5,1435.08,1734.27,1544.11,1350.18,1503.08,1501.28,1469.98,1339.15,1669.62,1625.41,1393.91,1573.97,1562.59,1375.19,1494.86,1596.26,1532.64,1480.53,1574.63,1712.51,1412.53,1428.32,1658.27,1403.65,1514.79,1567.08,1518.5,1625.2,1574.17,1587.61,1404.98,1316.73,1005.72,2273.48,1428.64,1682.88,1566.08,1366.96,1470.95,1445.53,1229.14,1486.94,1518.5,1709.3,1617.92,1641.56,1555.8,1495.71,1706.23,1418.25,1640.5,1533.83,1556.42,1419.73,1657.22,1646.9,1521.02,1589.97,1618.62,1553.11,1531.54,1587.72,1224.09,1595.98,1554.36,1477.84,1430.43,1576.35,1615.04,1459.34,1324.94,1546.73,1547.77,1396.18,1444.32,1770.0,1566.4,1482.61,1609.61,1551.89,1606.53,1513.35,1430.49,1674.86,1449.42
6,1690.39,1856.86,1839.58,1532.22,1831.88,1810.78,1680.59,1655.71,1997.36,1907.93,1566.99,1822.82,1821.0,1653.89,1655.58,1846.52,1764.94,1691.65,1850.16,2034.69,1668.17,1681.94,1929.77,1605.67,1854.14,1874.38,1849.5,1923.34,1843.21,2005.62,1625.05,1625.5,1329.44,2735.43,1604.92,2039.9,1928.41,1718.74,2070.23,1742.62,1534.86,1834.26,1843.83,2006.58,1923.11,1858.71,1759.18,1861.19,1917.15,1770.84,1763.06,1824.31,1865.78,1700.35,1990.97,2040.78,1871.8,1881.87,1925.06,1878.56,1741.81,1836.62,1513.3,1822.83,1875.11,1729.01,1680.09,1862.03,1865.35,1636.99,1582.29,1787.79,1788.14,1665.45,1501.92,2027.88,1863.97,1753.93,1857.49,1826.4,1947.45,1726.98,1683.33,1937.62,1683.08
7,1973.28,2142.05,2151.19,1731.53,2159.48,2142.7,2078.83,1770.78,2352.1,2216.75,1867.94,1981.6,2125.94,1962.61,1913.48,2193.43,2038.44,1894.96,2132.14,2141.26,1852.51,1918.7,2270.66,1873.47,2185.31,2161.14,2190.43,2296.4,2167.32,2389.09,1857.39,1827.7,2382.87,2846.38,1789.06,2451.29,2227.79,1995.7,2343.17,1970.62,1830.66,2084.58,2092.98,2153.67,2149.36,2122.74,1975.93,2077.52,2112.42,2103.34,2144.96,2175.28,2133.17,1966.63,2293.48,2283.24,2115.07,2020.52,2262.24,2121.19,2020.72,2165.95,1815.74,2134.88,2098.57,2020.23,1818.38,2150.41,2073.95,1880.98,1890.92,2006.3,2114.53,1883.59,1685.33,2118.21,2101.46,1961.58,2260.41,2179.15,2273.25,1991.83,1947.38,2134.3,2109.51
8,2178.82,2387.29,2413.31,1941.51,2523.9,2406.88,2407.2,2007.83,2583.58,2476.97,2140.34,2118.87,2396.67,2242.77,2172.62,2543.22,2391.25,2054.7,2383.71,2439.69,2187.4,2233.87,2596.76,2146.73,2422.67,2476.1,2486.82,2699.43,2594.27,2750.28,2113.68,1779.36,2902.06,3080.58,1997.32,2766.05,2512.95,1936.67,2486.17,2464.5,2177.98,2353.32,2379.99,2463.84,2369.12,2541.71,1905.23,2276.38,2345.46,2395.9,2491.88,2499.53,2355.72,2124.84,2612.0,2654.22,2291.51,2185.13,2585.26,2282.99,2208.4,2402.33,2052.81,2453.11,2394.07,2351.1,2001.17,2439.41,2404.68,2143.67,2275.04,2311.62,2335.4,2175.45,1741.39,2347.21,2407.93,2184.84,2519.51,2465.51,2593.63,2055.51,2460.85,2462.22,2391.72
9,2525.52,2615.67,2586.79,2129.43,2945.53,2701.38,2585.76,2023.18,2878.94,2746.35,2509.32,2392.05,2651.05,2424.72,2432.76,2958.01,2733.89,2194.75,2760.4,2838.61,2452.3,2530.75,2921.29,2373.25,2650.16,2826.34,2686.0,2914.41,2910.45,2690.78,2047.99,1770.62,2735.71,3018.43,2273.41,3105.28,2915.61,1878.89,3050.9,2751.37,2462.16,2513.05,2836.89,2699.31,2693.35,2916.5,2114.21,2601.75,2677.02,2727.67,2869.83,2748.67,2562.69,2456.84,2938.51,2766.72,2516.43,2291.23,2957.86,2536.84,2416.64,2687.34,2236.55,2716.03,2695.5,2665.34,2237.72,2691.4,2726.06,2425.14,2586.9,2513.34,2595.63,2527.38,2037.48,2725.01,2574.95,2380.69,2692.07,2623.92,2936.93,2344.12,2949.57,2728.93,2630.03
