,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
0,253.32,257.28,255.35,262.73,254.19,255.45,258.65,242.89,260.65,250.83,244.66,256.08,250.27,247.87,260.26,254.42,246.04,244.13,265.07,248.42,247.48,261.01,249.66,253.42,258.19,260.33,253.81,248.33,251.0,268.47,253.62,257.58,245.85,259.9,264.29,250.0,263.8,257.77,256.58,246.26,248.59,250.47,254.85,264.97,258.06,257.44,259.95,251.32,246.67,252.8,255.14,268.48,258.33,251.34,256.34,254.5,243.28,244.56,254.9,259.96,245.64,262.85,240.7,259.66,257.69,256.43,254.33,259.59,249.32,239.44,247.8,259.55,260.41,251.91,253.51,270.46,273.0,247.85,240.49,259.36,257.19,249.06,236.87,258.79,253.04,260.79
1,513.16,521.1,510.54,510.56,491.71,528.42,505.78,478.27,493.41,487.38,477.88,515.89,496.96,481.27,518.21,498.87,490.1,467.46,532.87,501.83,457.59,508.98,511.92,526.12,511.78,515.8,505.63,509.08,495.93,521.95,536.11,547.63,493.62,451.01,553.27,485.89,544.07,523.67,495.98,493.12,496.39,470.49,490.69,546.88,505.73,525.39,512.17,521.75,473.39,484.79,516.46,539.36,500.34,496.34,518.71,522.29,497.17,474.01,507.54,502.85,477.08,534.61,499.46,517.11,514.57,510.76,501.55,527.89,477.42,487.64,481.16,530.0,520.44,484.67,490.32,575.67,544.06,485.24,484.63,502.91,528.41,482.77,476.37,518.63,476.43,539.43
2,770.89,800.55,763.13,732.38,741.57,802.09,738.74,658.46,776.5,749.33,747.7,759.1,770.6,719.55,756.11,770.51,739.68,742.21,771.07,777.7,759.88,742.63,793.21,791.08,749.73,747.96,706.4,772.93,787.85,787.06,817.64,815.45,750.18,701.72,763.91,691.21,812.51,774.6,699.61,744.25,744.24,727.56,703.75,827.72,779.14,776.87,740.98,742.47,736.03,744.38,775.6,779.15,754.73,752.35,787.38,768.04,800.22,734.91,774.97,773.3,718.53,810.61,751.41,765.6,779.78,762.7,721.9,797.69,715.4,722.89,745.12,801.42,790.02,724.21,773.42,865.79,799.67,733.98,735.47,769.45,709.05,762.12,705.22,797.37,728.7,784.78
3,1036.3,1141.44,1050.21,944.83,1019.3,1041.66,977.54,915.51,1085.84,1047.01,976.47,1007.96,1055.67,971.72,985.48,1100.92,981.98,981.21,1017.08,1066.34,1005.59,1001.46,1110.57,1008.28,980.62,990.76,932.77,1051.3,1106.09,1033.21,1138.19,967.6,766.03,1057.14,1033.51,1014.8,1066.22,966.1,915.34,871.67,1007.28,951.24,919.05,1117.42,1014.61,1055.69,1057.25,958.74,1065.52,997.12,1058.92,1047.51,1005.52,956.39,1082.4,1055.92,1065.03,1010.13,1033.28,1042.46,983.14,1090.94,971.31,1065.47,1046.6,1027.87,1003.53,1067.89,1038.68,994.36,967.03,1089.4,1052.52,957.71,973.39,1131.47,1060.41,971.37,1031.94,1043.15,946.75,1024.23,1006.2,1090.38,982.71,1044.49
4,1228.7,1324.97,1300.44,1175.16,1246.88,1231.2,1198.02,1128.95,1413.17,1343.99,1210.05,1289.33,1308.62,1192.79,1247.74,1324.12,1263.39,1194.94,1315.14,1413.27,1181.82,1295.41,1419.01,1203.62,1231.47,1285.17,1195.28,1350.61,1401.83,1305.53,1308.92,1104.86,898.67,1688.91,1156.51,1368.35,1249.45,1165.46,1181.88,1166.58,1088.49,1180.67,1189.12,1426.01,1291.35,1359.07,1313.27,1191.21,1384.49,1243.43,1358.78,1304.2,1260.04,1217.28,1390.21,1304.02,1276.94,1311.75,1328.08,1314.63,1224.71,1357.26,1132.94,1344.68,1311.82,1299.4,1190.12,1344.34,1320.99,1287.45,1079.97,1323.94,1291.82,1176.07,1189.51,1473.29,1304.62,1221.27,1351.42,1267.6,1255.84,1252.65,1262.15,1398.76,1228.64,1329.02
5,1438.87,1736.29,1545.38,1350.78,1504.46,1502.49,1470.87,1339.57,1671.83,1627.01,1394.55,1575.51,1563.97,1375.81,1496.27,1597.77,1533.53,1481.15,1576.67,1714.99,1413.3,1429.12,1660.01,1404.31,1516.0,1568.41,1519.55,1626.81,1575.56,1589.05,1405.76,1317.22,1003.78,2278.79,1429.47,1684.91,1567.22,1367.17,1472.28,1446.4,1228.85,1487.93,1520.08,1711.51,1619.57,1643.36,1557.22,1496.66,1708.37,1418.67,1642.26,1534.95,1557.78,1420.51,1659.22,1648.66,1522.15,1591.5,1620.4,1554.5,1532.79,1589.29,1224.42,1597.48,1555.73,1478.96,1431.39,1577.87,1616.56,1460.39,1325.51,1548.18,1549.19,1397.07,1445.29,1772.33,1567.86,1483.59,1611.16,1553.18,1608.04,1514.53,1431.23,1676.8,1450.35,1617.8
6,1694.19,1858.37,1840.99,1532.54,1833.58,1812.17,1681.34,1656.37,1999.93,1909.64,1567.29,1824.34,1822.39,1654.61,1656.51,1848.0,1765.59,1691.88,1852.49,2037.53,1668.94,1682.9,1931.59,1606.07,1855.76,1875.94,1850.87,1925.05,1844.59,2007.52,1625.7,1626.32,1328.44,2741.83,1605.45,2042.35,1929.73,1719.45,2073.6,1743.55,1534.67,1835.73,1845.99,2008.99,1924.97,1860.36,1760.41,1862.5,1918.99,1771.66,1763.7,1825.68,1867.4,1701.24,1993.28,2042.97,1873.22,1883.5,1927.03,1880.14,1742.93,1838.16,1513.71,1824.25,1876.63,1730.1,1681.01,1863.63,1866.85,1637.81,1582.87,1789.21,1789.53,1666.37,1502.11,2030.23,1865.54,1754.91,1858.95,1827.71,1949.29,1727.94,1684.04,1939.57,1683.91,1908.92
7,1977.0,2143.67,2152.8,1731.63,2161.7,2144.33,2079.88,1770.63,2355.35,2218.51,1868.41,1982.67,2127.53,1963.56,1914.6,2195.32,2039.01,1894.7,2134.84,2143.41,1852.87,1919.53,2272.9,1873.91,2187.3,2162.84,2192.05,2298.61,2168.95,2391.34,1857.96,1828.43,2386.3,2852.2,1789.32,2454.35,2229.05,1996.74,2346.92,1971.3,1830.64,2085.86,2095.43,2155.41,2150.96,2124.32,1976.96,2078.56,2113.96,2104.56,2145.84,2177.3,2134.84,1967.56,2296.0,2285.34,2116.39,2021.71,2264.51,2122.74,2021.91,2167.72,1816.28,2136.45,2099.97,2021.41,1818.91,2152.12,2075.29,1881.77,1891.66,2007.62,2116.1,1884.39,1685.22,2119.86,2102.92,1962.33,2262.45,2180.8,2275.32,1992.77,1948.09,2136.0,2110.94,2118.24
8,2182.0,2388.65,2414.95,1941.2,2526.58,2408.36,2408.49,2007.59,2586.71,2478.74,2140.87,2119.4,2398.33,2243.82,2173.74,2545.52,2392.04,2053.65,2386.57,2442.06,2188.15,2235.25,2599.12,2147.05,2424.35,2477.89,2488.47,2702.13,2596.43,2752.8,2114.24,1778.45,2907.99,3086.28,1997.39,2769.35,2514.07,1936.51,2489.74,2465.89,2178.22,2354.64,2382.82,2465.82,2370.55,2543.9,1905.0,2277.05,2346.77,2397.17,2492.86,2501.99,2357.2,2125.28,2614.75,2656.66,2292.52,2185.96,2587.78,2284.23,2209.38,2404.01,2053.28,2454.87,2395.54,2352.45,2001.45,2441.2,2406.21,2144.47,2276.19,2313.09,2336.88,2176.32,1740.46,2348.75,2409.51,2185.37,2521.48,2467.18,2595.93,2055.53,2462.69,2464.17,2393.23,2322.73
9,2528.83,2616.92,2588.14,2128.83,2948.89,2702.98,2586.58,2021.79,2882.25,2748.17,2510.1,2392.64,2652.69,2425.4,2434.12,2961.0,2734.83,2192.73,2764.29,2841.69,2453.29,2532.33,2923.97,2373.39,2651.67,2828.54,2687.22,2916.79,2912.73,2692.14,2047.15,1768.31,2739.16,3022.66,2273.54,3108.72,2916.69,1877.15,3056.85,2752.55,2462.5,2513.76,2841.12,2701.18,2695.06,2919.14,2113.7,2602.44,2678.42,2728.94,2870.9,2751.43,2563.98,2457.54,2941.42,2768.56,2517.46,2291.49,2960.74,2538.04,2417.47,2689.05,2236.74,2717.76,2697.05,2666.81,2237.97,2693.19,2727.77,2426.01,2588.28,2514.67,2597.1,2528.44,2036.68,2727.03,2576.09,2380.87,2693.61,2625.03,2939.55,2344.2,2952.45,2730.88,2631.4,2610.32
