,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
0,250.23,254.96,253.71,258.52,252.97,253.8,255.87,245.64,257.21,250.81,246.81,254.24,250.47,248.94,256.97,253.18,247.72,246.49,260.13,249.3,248.72,257.53,250.09,252.54,255.62,257.0,252.75,249.16,250.89,262.27,252.59,255.17,247.57,256.67,259.52,250.2,259.17,255.24,254.46,247.74,249.24,250.45,253.33,259.91,255.42,255.01,256.63,251.02,248.02,251.99,253.51,262.2,255.61,251.08,254.3,253.12,245.84,246.72,253.41,256.76,247.51,258.63,244.25,256.56,255.3,254.49,253.15,256.57,249.96,243.57,249.14,256.66,257.2,251.72,252.79,263.85,265.51,249.13,244.4,256.75,255.46,250.31,242.53,256.47,252.83,257.84,251.38,260.91,257.04,255.89
1,507.04,514.4,507.55,507.59,495.36,519.24,504.51,486.68,496.56,492.62,486.48,511.2,498.91,488.8,512.75,500.19,494.45,479.78,522.37,502.18,473.52,506.94,508.69,517.93,508.54,511.12,504.46,506.63,498.09,515.05,524.19,531.7,496.66,468.88,535.31,491.44,529.23,515.97,497.94,496.05,498.13,481.25,494.48,531.01,504.27,517.02,508.39,514.63,483.24,490.62,511.21,526.15,500.81,498.24,512.7,515.07,498.79,483.84,505.57,502.72,486.1,523.33,500.53,511.97,510.38,507.92,502.05,519.14,486.54,493.31,489.38,520.85,514.61,491.48,495.24,550.81,530.34,492.01,491.77,503.89,521.07,491.65,487.82,514.44,487.27,528.15,520.69,533.22,518.79,517.67
2,762.73,784.22,759.94,740.0,746.02,785.38,744.19,692.12,768.92,751.22,750.22,757.66,765.17,732.15,755.8,765.18,745.08,746.81,765.7,770.0,758.61,747.41,779.97,778.6,751.59,750.36,723.26,766.37,776.07,775.65,795.41,794.03,751.71,720.06,760.39,713.0,791.8,767.16,718.36,747.29,747.21,736.29,721.02,801.6,770.02,768.5,745.1,746.1,741.98,747.36,767.67,770.08,754.25,752.75,775.36,762.89,783.92,741.68,767.55,766.89,731.48,791.05,752.66,761.85,771.2,760.1,733.85,783.0,729.99,735.11,750.01,786.03,778.67,736.15,768.34,828.59,785.69,742.84,744.08,766.65,728.8,763.63,727.14,785.44,741.46,777.74,803.21,807.13,786.47,768.46
3,1023.62,1094.21,1034.97,966.57,1015.04,1029.62,987.94,947.79,1058.61,1033.33,987.58,1008.09,1039.17,984.84,993.62,1068.68,991.27,990.93,1014.44,1046.47,1007.29,1004.58,1075.02,1008.53,990.35,996.8,958.95,1035.79,1071.43,1024.18,1092.23,981.42,850.57,1039.54,1024.02,1011.65,1044.98,979.91,946.82,918.29,1006.31,969.8,949.18,1078.13,1011.29,1037.91,1038.82,974.85,1044.36,999.82,1040.02,1032.78,1005.57,973.7,1055.29,1038.31,1044.48,1009.09,1023.8,1030.55,992.23,1061.87,984.23,1045.44,1033.37,1021.19,1005.8,1047.48,1029.28,1000.88,983.93,1062.43,1038.61,977.39,988.03,1091.21,1044.9,986.81,1026.69,1034.76,974.21,1025.56,1014.4,1066.47,997.81,1037.44,1074.07,1053.08,1032.54,1044.39
4,1237.43,1302.16,1286.31,1205.0,1251.73,1241.59,1220.04,1175.4,1360.28,1315.26,1228.35,1279.94,1292.62,1217.63,1253.13,1302.79,1263.2,1218.94,1297.35,1361.19,1211.18,1284.92,1364.6,1224.57,1242.37,1277.06,1218.39,1319.06,1352.41,1289.97,1291.92,1159.41,1025.59,1538.88,1192.58,1329.95,1252.55,1197.96,1208.48,1198.33,1147.37,1207.2,1213.12,1367.12,1279.57,1323.46,1293.54,1214.3,1340.07,1248.26,1323.31,1288.08,1259.5,1231.9,1343.73,1288.09,1270.84,1293.97,1303.99,1296.55,1238.35,1323.84,1178.2,1315.86,1294.8,1286.73,1216.34,1316.46,1302.44,1281.21,1147.76,1304.73,1283.92,1209.35,1218.81,1403.87,1294.05,1239.5,1324.94,1271.58,1266.4,1266.78,1273.35,1358.27,1250.16,1313.91,1330.8,1307.35,1267.08,1332.2
5,1462.98,1658.39,1534.44,1408.13,1508.16,1506.95,1486.44,1401.45,1617.6,1588.41,1437.5,1555.22,1547.94,1426.01,1504.01,1570.0,1528.11,1494.41,1556.85,1646.88,1451.36,1461.44,1610.65,1444.39,1516.57,1550.34,1518.23,1587.57,1554.35,1563.29,1443.82,1386.47,1182.97,2011.22,1458.81,1624.42,1547.77,1417.73,1485.83,1468.72,1327.03,1495.37,1516.83,1641.28,1581.48,1596.75,1540.58,1501.36,1639.14,1450.68,1596.14,1526.72,1541.74,1452.87,1607.14,1600.83,1519.05,1564.98,1582.81,1541.88,1527.93,1563.87,1326.89,1569.44,1542.68,1492.8,1462.79,1557.97,1584.59,1484.04,1398.34,1540.87,1541.41,1443.56,1475.91,1689.24,1556.15,1500.74,1585.03,1548.68,1587.21,1530.57,1477.19,1631.35,1487.86,1593.67,1616.61,1606.74,1579.5,1620.98
6,1718.04,1826.85,1815.76,1615.49,1811.36,1797.52,1712.58,1696.82,1920.33,1861.6,1639.32,1806.51,1805.6,1696.95,1697.84,1822.28,1768.58,1721.15,1825.97,1946.48,1707.62,1716.32,1876.92,1665.2,1826.95,1839.67,1822.9,1870.64,1818.5,1924.57,1676.0,1676.7,1483.29,2401.35,1662.22,1945.65,1872.27,1735.56,1965.46,1750.54,1614.38,1810.07,1817.44,1923.41,1868.73,1826.47,1761.29,1827.87,1864.77,1768.82,1763.82,1804.54,1831.91,1724.35,1912.96,1946.12,1836.34,1844.3,1871.26,1843.31,1754.03,1815.16,1604.5,1806.41,1840.93,1745.71,1715.14,1833.88,1837.63,1690.34,1657.01,1788.53,1788.3,1709.81,1604.41,1948.57,1841.22,1768.41,1838.1,1819.29,1901.9,1764.33,1736.39,1895.61,1734.21,1875.81,1847.56,1899.21,1830.07,1909.59
7,1991.16,2101.65,2107.85,1834.38,2114.17,2102.96,2061.24,1860.82,2241.1,2152.13,1924.88,1999.29,2093.96,1987.8,1955.58,2137.98,2036.26,1943.11,2099.67,2105.62,1917.67,1960.37,2188.83,1929.27,2132.28,2115.87,2134.21,2202.91,2118.89,2263.56,1916.42,1897.66,2260.44,2562.47,1870.96,2302.55,2155.9,2004.83,2232.04,1987.42,1895.47,2061.47,2068.53,2107.54,2104.55,2086.88,1990.85,2057.19,2080.38,2074.07,2101.17,2122.14,2094.88,1986.7,2198.61,2192.91,2083.86,2023.95,2180.21,2091.12,2025.12,2119.25,1891.02,2099.21,2076.07,2025.07,1895.36,2112.02,2063.82,1940.39,1949.71,2021.91,2091.76,1943.43,1815.72,2099.35,2087.65,1995.14,2192.9,2141.71,2208.01,2033.04,2003.46,2117.92,2106.99,2105.58,2132.89,2246.52,2061.74,2231.64
8,2214.02,2350.48,2367.9,2060.34,2441.13,2364.37,2364.71,2104.87,2481.51,2411.35,2192.11,2178.33,2360.34,2260.3,2214.33,2455.85,2356.0,2136.89,2353.81,2390.45,2226.46,2256.13,2491.26,2197.08,2376.48,2410.65,2416.67,2554.91,2486.58,2588.26,2172.71,1955.04,2689.32,2804.24,2095.62,2596.59,2430.43,2054.9,2413.99,2397.9,2210.25,2325.19,2344.46,2398.44,2336.38,2448.59,2033.05,2275.28,2320.76,2353.3,2415.87,2422.44,2328.75,2178.61,2494.87,2523.73,2288.09,2220.82,2480.32,2286.7,2237.0,2362.99,2135.21,2396.39,2358.49,2330.6,2104.97,2390.96,2370.08,2203.45,2292.13,2312.08,2327.16,2225.44,1944.54,2341.31,2379.55,2232.55,2454.45,2421.67,2511.73,2171.87,2433.93,2426.67,2386.56,2333.06,2348.77,2451.4,2346.25,2494.37
9,2529.17,2588.69,2570.39,2272.3,2805.69,2645.91,2570.64,2204.43,2763.91,2676.84,2522.54,2446.39,2616.39,2468.96,2474.2,2816.45,2669.41,2318.12,2690.18,2741.32,2490.07,2540.08,2793.13,2434.77,2614.63,2728.82,2635.89,2784.4,2782.29,2638.82,2219.06,2038.6,2669.59,2852.73,2364.74,2906.65,2781.61,2105.72,2871.88,2673.38,2484.02,2517.83,2731.68,2640.76,2636.57,2781.64,2257.85,2576.05,2625.56,2658.16,2750.95,2674.02,2552.72,2484.04,2796.5,2686.09,2524.26,2379.85,2813.05,2542.54,2462.64,2638.66,2344.87,2657.81,2645.08,2625.66,2349.93,2646.32,2670.74,2479.26,2587.99,2535.04,2588.63,2546.9,2230.51,2680.81,2580.89,2452.77,2660.34,2619.55,2831.51,2458.66,2848.14,2696.31,2638.18,2615.27,2602.35,2495.07,2666.7,2755.25
