,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
0,252.39,254.96,253.71,258.52,252.97,253.8,255.87,245.64,257.21,250.81,246.81,254.24,250.47,248.94,256.97,253.18,247.72,246.49,260.13,249.3,248.72,257.53,250.09,252.54,255.62,257.0,252.75,249.16,250.89,262.27,252.59,255.17,247.57,256.67,259.52,250.2,259.17,255.24,254.46,247.74,249.24,250.45,253.33,259.91,255.42,255.01,256.63,251.02,248.02,251.99,253.51,262.2,255.61,251.08,254.3,253.12,245.84,246.72,253.41,256.76,247.51,258.63,244.25,256.56,255.3,254.49,253.15,256.57,249.96,243.57,249.14,256.66,257.2,251.72,252.79,263.85,265.51,249.13,244.4,256.75,255.46,250.31,242.53,256.47,252.83,257.84
1,509.23,514.36,507.54,507.61,495.38,519.19,504.53,486.62,496.65,492.62,486.43,511.19,498.91,488.77,512.73,500.2,494.44,479.69,522.28,502.18,473.45,506.97,508.7,517.91,508.54,511.1,504.46,506.64,498.09,515.04,524.15,531.58,496.64,469.13,535.08,491.44,529.06,515.93,497.98,496.04,498.13,481.25,494.52,530.83,504.28,516.97,508.39,514.62,483.19,490.64,511.19,526.01,500.84,498.24,512.67,515.04,498.8,483.78,505.57,502.76,486.05,523.22,500.56,511.95,510.37,507.91,502.06,519.08,486.52,493.28,489.35,520.79,514.58,491.48,495.25,550.39,530.19,491.98,491.71,503.93,521.04,491.61,487.69,514.43,487.28,528.06
2,764.94,784.13,759.93,740.13,746.04,785.3,744.26,691.89,768.91,751.22,750.2,757.66,765.17,732.11,755.82,765.18,745.06,746.76,765.67,770.02,758.59,747.48,779.99,778.56,751.62,750.4,723.3,766.38,776.07,775.57,795.34,793.88,751.71,720.31,760.34,712.99,791.56,767.11,718.48,747.28,747.21,736.29,721.1,801.28,769.99,768.45,745.16,746.1,741.95,747.37,767.64,769.99,754.28,752.75,775.3,762.87,784.04,741.63,767.53,766.88,731.41,790.86,752.69,761.84,771.16,760.1,733.89,782.9,729.96,735.02,749.99,785.92,778.6,736.16,768.34,827.97,785.52,742.8,744.02,766.66,728.88,763.62,726.87,785.38,741.47,777.69
3,1025.87,1093.98,1034.93,966.8,1015.04,1029.56,988.03,947.57,1058.48,1033.33,987.52,1008.09,1039.18,984.8,993.68,1068.61,991.24,990.86,1014.42,1046.51,1007.27,1004.64,1075.06,1008.52,990.41,996.86,959.01,1035.82,1071.42,1024.12,1092.12,981.43,850.3,1039.59,1023.91,1011.64,1044.74,979.97,946.98,918.16,1006.31,969.8,949.3,1077.68,1011.28,1037.82,1038.74,974.86,1044.39,999.83,1039.96,1032.62,1005.59,973.71,1055.17,1038.26,1044.62,1009.08,1023.77,1030.51,992.17,1061.6,984.18,1045.33,1033.31,1021.17,1005.82,1047.34,1029.27,1000.83,983.88,1062.25,1038.52,977.4,988.05,1090.54,1044.71,986.76,1026.73,1034.74,974.31,1025.54,1014.27,1066.36,997.82,1037.38
4,1239.61,1302.01,1286.26,1205.28,1251.75,1241.58,1220.17,1175.12,1360.02,1315.26,1228.27,1279.92,1292.62,1217.57,1253.18,1302.74,1263.19,1218.83,1297.22,1361.27,1211.11,1284.91,1364.64,1224.59,1242.43,1277.05,1218.45,1319.12,1352.4,1289.85,1291.86,1159.57,1025.22,1538.33,1192.79,1329.96,1252.48,1198.08,1208.63,1198.24,1147.32,1207.2,1213.22,1366.51,1279.53,1323.29,1293.45,1214.31,1340.15,1248.28,1323.2,1287.9,1259.53,1231.91,1343.55,1288.04,1270.93,1294.01,1303.93,1296.47,1238.28,1323.54,1177.99,1315.71,1294.72,1286.69,1216.4,1316.28,1302.45,1281.25,1147.6,1304.59,1283.86,1209.37,1218.84,1402.89,1293.92,1239.44,1325.1,1271.61,1266.46,1266.75,1273.2,1358.1,1250.17,1313.82
5,1465.11,1658.08,1534.4,1408.54,1508.18,1506.93,1486.55,1401.13,1617.33,1588.41,1437.37,1555.17,1547.95,1425.92,1504.07,1569.94,1528.11,1494.33,1556.7,1646.99,1451.28,1461.61,1610.7,1444.43,1516.6,1550.29,1518.26,1587.63,1554.35,1563.09,1443.83,1386.68,1182.5,2010.21,1458.99,1624.43,1547.57,1417.9,1485.95,1468.64,1326.94,1495.37,1516.88,1640.59,1581.34,1596.55,1540.5,1501.37,1639.27,1450.72,1596.0,1526.6,1541.71,1452.88,1606.95,1600.72,1519.13,1565.04,1582.72,1541.82,1527.91,1563.62,1326.43,1569.29,1542.62,1492.83,1462.86,1557.83,1584.61,1483.92,1398.18,1540.77,1541.35,1443.58,1475.95,1688.13,1556.0,1500.69,1585.2,1548.68,1587.21,1530.53,1476.8,1631.16,1487.87,1593.54
6,1720.18,1826.67,1815.69,1616.02,1811.35,1797.46,1712.73,1696.55,1919.96,1861.6,1639.12,1806.47,1805.61,1696.87,1698.01,1822.22,1768.57,1721.03,1825.79,1946.61,1707.54,1716.5,1876.97,1665.26,1826.9,1839.56,1822.89,1870.72,1818.5,1923.99,1676.01,1676.85,1482.86,2400.08,1662.53,1945.67,1871.87,1735.64,1965.31,1750.49,1614.31,1810.07,1817.45,1922.63,1868.55,1826.31,1761.28,1827.86,1864.87,1768.83,1763.78,1804.33,1831.82,1724.36,1912.7,1945.94,1836.52,1844.4,1871.14,1843.17,1753.98,1814.91,1604.08,1806.3,1840.81,1745.74,1715.21,1833.7,1837.65,1690.1,1656.84,1788.45,1788.26,1709.82,1604.5,1947.46,1840.96,1768.36,1838.25,1819.28,1901.85,1764.26,1735.97,1895.43,1734.23,1875.65
7,1993.33,2101.44,2107.75,1834.98,2114.13,2102.86,2061.26,1860.44,2240.61,2152.13,1924.71,1999.3,2093.97,1987.73,1955.75,2137.88,2036.25,1942.95,2099.44,2105.7,1917.55,1960.57,2188.89,1929.32,2132.17,2115.72,2134.18,2203.02,2118.88,2262.71,1916.45,1897.85,2260.38,2561.37,1871.37,2302.58,2155.42,2004.9,2231.89,1987.35,1895.4,2061.47,2068.54,2106.95,2104.38,2086.7,1990.88,2057.19,2080.46,2074.06,2101.05,2121.72,2094.78,1986.71,2198.32,2192.73,2084.03,2023.96,2180.05,2090.99,2025.08,2118.9,1890.65,2099.03,2075.98,2025.08,1895.48,2111.81,2063.83,1940.13,1949.57,2021.87,2091.65,1943.45,1815.83,2098.66,2087.46,1995.07,2193.23,2141.63,2207.92,2032.97,2003.02,2117.8,2107.0,2105.48
8,2216.16,2350.27,2367.81,2060.99,2441.05,2364.26,2364.69,2104.47,2481.05,2411.35,2191.95,2178.4,2360.35,2260.24,2214.5,2455.71,2356.05,2136.67,2353.59,2390.54,2226.38,2256.27,2491.34,2197.13,2376.38,2410.44,2416.63,2555.06,2486.57,2587.21,2172.73,1955.44,2689.36,2803.15,2096.1,2596.62,2429.91,2055.19,2413.9,2397.93,2210.2,2325.19,2344.46,2397.76,2336.24,2448.29,2033.39,2275.28,2320.83,2353.28,2415.71,2421.89,2328.68,2178.63,2494.53,2523.5,2288.2,2220.77,2480.13,2286.67,2236.92,2362.66,2134.82,2396.16,2358.37,2330.57,2105.11,2390.72,2370.1,2203.18,2292.03,2312.0,2327.09,2225.46,1944.69,2340.7,2379.26,2232.47,2454.78,2421.57,2511.62,2171.72,2433.88,2426.5,2386.57,2333.01
9,2531.37,2588.5,2570.33,2273.01,2805.55,2645.79,2570.67,2203.87,2763.41,2676.84,2522.43,2446.46,2616.4,2468.88,2474.37,2816.26,2669.5,2317.83,2689.8,2741.44,2489.98,2540.18,2793.21,2434.82,2614.55,2728.52,2635.86,2784.54,2782.27,2638.32,2219.17,2039.16,2669.47,2851.95,2365.19,2906.69,2780.89,2106.21,2871.62,2673.43,2483.97,2517.84,2731.6,2640.1,2636.39,2781.26,2258.23,2576.04,2625.65,2658.12,2750.73,2673.48,2552.68,2484.05,2796.12,2685.92,2524.35,2379.72,2812.81,2542.51,2462.54,2638.3,2344.41,2657.58,2644.92,2625.59,2350.07,2646.09,2670.77,2479.01,2587.9,2535.01,2588.56,2546.92,2230.66,2679.98,2580.8,2452.66,2660.56,2619.52,2831.37,2458.51,2848.41,2696.14,2638.19,2615.21
