,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
0,250.13,255.95,254.41,260.32,253.49,254.51,257.06,244.46,258.68,250.82,245.89,255.03,250.39,248.48,258.38,253.71,247.0,245.48,262.25,248.92,248.19,259.02,249.91,252.92,256.72,258.43,253.2,248.8,250.94,264.92,253.03,256.2,246.84,258.06,261.56,250.12,261.15,256.33,255.37,247.1,248.96,250.46,253.98,262.08,256.55,256.05,258.05,251.15,247.44,252.33,254.21,264.89,256.78,251.19,255.18,253.71,244.74,245.79,254.05,258.13,246.71,260.44,242.73,257.89,256.32,255.32,253.66,257.86,249.68,241.8,248.57,257.9,258.58,251.8,253.1,266.68,268.72,248.58,242.72,257.87,256.2,249.77,240.11,257.47,252.92,259.11,251.25,263.09,258.25,256.82,245.39
1,508.21,517.25,508.83,508.88,493.81,523.14,505.07,483.03,495.28,490.38,482.76,513.2,498.07,485.55,515.08,499.63,492.57,474.44,526.81,502.03,466.64,507.83,510.08,521.43,509.93,513.12,504.96,507.69,497.16,518.0,529.28,538.44,495.35,461.4,542.85,489.06,535.47,519.24,497.13,494.79,497.38,476.64,492.88,537.68,504.91,520.57,510.01,517.67,478.98,488.13,513.45,531.71,500.63,497.43,515.26,518.14,498.1,479.58,506.41,502.8,482.2,528.09,500.09,514.16,512.17,509.13,501.84,522.85,482.62,490.86,485.84,524.73,517.09,488.56,493.14,561.17,536.11,489.09,488.67,503.5,524.2,487.82,482.82,516.23,482.63,532.92,524.19,539.71,521.89,520.4,485.53
2,764.76,791.16,761.3,736.83,744.13,792.49,741.9,677.53,772.17,750.41,749.13,758.28,767.5,726.72,755.94,767.46,742.75,744.81,767.98,773.31,759.14,745.42,785.65,783.92,750.81,749.36,716.07,769.19,781.12,780.48,804.89,803.1,751.05,712.38,761.86,703.66,800.51,770.31,710.41,745.98,745.94,732.55,713.67,812.57,773.91,772.05,743.38,744.54,739.41,746.09,771.04,773.91,754.47,752.58,780.47,765.08,790.99,738.74,770.71,769.63,725.88,799.29,752.15,763.45,774.85,761.21,728.76,789.22,723.72,729.81,747.9,792.55,783.48,731.04,770.52,844.09,791.56,739.02,740.35,767.85,720.39,762.97,717.55,790.51,736.0,780.72,813.09,818.0,792.4,770.03,751.89
3,1027.57,1114.29,1041.47,957.42,1016.87,1034.74,983.55,933.8,1070.19,1039.19,982.78,1008.04,1046.25,979.19,990.18,1082.44,987.27,986.72,1015.56,1055.01,1006.55,1003.29,1090.28,1008.42,986.23,994.25,947.77,1042.46,1086.27,1028.01,1111.85,975.5,814.15,1047.12,1028.01,1013.0,1053.92,974.03,933.44,898.22,1006.73,961.85,936.35,1094.65,1012.71,1045.47,1046.67,967.95,1053.45,998.67,1048.08,1038.98,1005.57,966.29,1066.82,1045.82,1053.39,1009.52,1027.84,1035.62,988.3,1074.14,978.66,1053.95,1039.0,1024.04,1004.84,1056.13,1033.31,998.06,976.65,1073.86,1044.51,968.96,981.77,1107.99,1051.41,980.16,1028.97,1038.34,962.51,1024.98,1010.8,1076.64,991.35,1040.42,1087.35,1061.49,1035.88,1050.13,1004.37
4,1232.26,1311.84,1292.34,1192.41,1249.67,1237.13,1210.7,1155.3,1382.76,1327.57,1220.45,1283.95,1299.48,1206.94,1250.85,1311.9,1263.27,1208.58,1304.88,1383.57,1198.55,1289.41,1387.95,1215.6,1237.74,1280.53,1208.52,1332.62,1373.58,1296.56,1299.16,1136.14,970.94,1602.8,1177.27,1346.41,1251.17,1184.12,1197.19,1184.66,1122.1,1195.83,1202.91,1391.93,1284.59,1338.61,1301.93,1204.41,1359.16,1246.2,1338.44,1294.86,1259.75,1225.64,1363.52,1294.88,1273.52,1301.62,1314.27,1304.25,1232.45,1337.95,1158.65,1328.11,1302.04,1292.13,1205.15,1328.28,1310.4,1283.91,1118.6,1312.86,1287.26,1195.1,1206.28,1432.93,1298.49,1231.65,1336.4,1269.89,1261.92,1260.7,1268.44,1375.51,1240.95,1320.32,1343.75,1314.67,1264.68,1344.47,1294.24
5,1451.25,1691.56,1539.1,1383.84,1506.59,1505.02,1479.85,1374.7,1640.65,1604.96,1419.0,1563.88,1554.81,1404.43,1500.73,1581.86,1530.44,1488.67,1565.24,1676.14,1434.99,1447.71,1631.84,1427.24,1516.35,1558.05,1518.82,1604.43,1563.44,1574.19,1427.51,1356.94,1105.84,2125.19,1446.36,1650.35,1555.96,1396.18,1480.11,1459.1,1284.89,1492.18,1518.26,1670.89,1597.71,1616.58,1547.65,1499.35,1668.9,1436.99,1615.81,1530.16,1548.59,1439.01,1629.32,1621.25,1520.43,1576.39,1598.86,1547.25,1530.0,1574.59,1282.65,1581.35,1548.23,1486.89,1449.38,1566.4,1598.3,1473.82,1367.02,1543.94,1544.7,1423.65,1462.81,1724.07,1561.06,1493.36,1596.35,1550.61,1596.13,1523.66,1457.22,1650.69,1471.79,1603.92,1635.55,1622.89,1588.82,1639.73,1585.15
6,1706.42,1840.23,1826.53,1580.31,1820.88,1803.76,1699.3,1679.3,1954.18,1882.19,1608.31,1814.12,1812.8,1678.74,1680.25,1833.26,1767.29,1708.52,1837.21,1985.59,1690.98,1702.12,1900.38,1639.9,1839.26,1855.13,1834.88,1894.01,1829.68,1959.71,1654.45,1655.21,1416.62,2546.37,1638.11,1987.11,1896.61,1728.71,2011.71,1747.51,1580.17,1821.07,1829.68,1959.54,1892.7,1840.88,1760.91,1842.71,1888.08,1770.05,1763.74,1813.45,1847.06,1714.46,1947.2,1987.5,1852.27,1861.17,1895.08,1859.0,1749.24,1824.84,1565.29,1813.98,1856.15,1739.04,1700.56,1846.5,1850.17,1667.65,1625.12,1788.76,1788.8,1691.2,1560.63,1982.79,1851.46,1762.59,1847.14,1822.89,1922.17,1748.69,1713.66,1914.32,1712.67,1889.88,1859.59,1922.2,1836.42,1934.46,1839.63
7,1983.67,2119.51,2127.05,1790.76,2134.51,2120.62,2069.25,1821.9,2289.72,2180.58,1900.56,1992.18,2108.36,1977.37,1938.14,2162.48,2037.43,1922.25,2114.58,2121.87,1889.82,1943.01,2224.9,1905.58,2155.78,2135.9,2158.98,2244.0,2140.34,2317.73,1891.38,1868.13,2314.33,2685.86,1836.26,2367.63,2186.91,2001.41,2281.17,1980.47,1867.64,2071.92,2080.07,2127.64,2124.32,2102.8,1984.91,2066.34,2094.83,2087.13,2120.23,2145.49,2111.93,1978.5,2240.14,2232.4,2097.92,2023.0,2216.22,2104.58,2023.72,2139.77,1858.73,2115.05,2086.24,2023.51,1862.68,2129.06,2068.74,1915.08,1924.73,2015.76,2102.11,1918.14,1759.87,2107.66,2094.06,1981.03,2222.94,2158.4,2236.8,2015.73,1979.42,2125.58,2108.69,2110.93,2150.26,2288.35,2060.24,2269.89,1959.94
8,2198.9,2366.69,2388.0,2009.74,2477.69,2383.15,2383.45,2062.9,2526.27,2440.23,2170.03,2153.13,2376.63,2253.19,2197.05,2494.19,2371.48,2101.06,2367.69,2412.63,2209.98,2247.28,2537.54,2175.67,2396.92,2439.32,2447.41,2618.11,2533.65,2658.04,2147.67,1879.64,2783.06,2924.35,2053.86,2670.66,2465.91,2004.37,2446.39,2427.06,2196.49,2337.81,2360.9,2426.84,2350.93,2489.23,1978.41,2276.04,2331.96,2372.09,2448.75,2456.15,2340.89,2155.77,2546.01,2580.54,2290.06,2205.85,2526.24,2285.62,2225.11,2380.34,2099.82,2421.29,2374.28,2339.94,2060.7,2412.32,2385.58,2177.98,2285.23,2312.46,2331.28,2204.4,1857.18,2344.07,2392.19,2212.27,2483.41,2441.1,2547.74,2121.9,2446.22,2442.62,2389.42,2328.6,2354.95,2478.73,2348.69,2531.92,2136.88
9,2527.58,2600.66,2577.95,2211.32,2866.96,2670.28,2577.49,2125.77,2814.27,2707.41,2517.13,2423.4,2631.95,2450.24,2457.14,2878.27,2697.51,2264.18,2721.67,2784.42,2474.25,2536.83,2849.26,2408.5,2630.45,2771.35,2657.87,2841.24,2838.18,2661.32,2145.47,1923.15,2699.32,2925.01,2325.97,2993.28,2839.0,2008.1,2950.97,2707.34,2474.76,2516.09,2778.53,2666.19,2661.51,2840.3,2196.34,2587.36,2648.28,2688.47,2802.2,2706.81,2557.52,2472.69,2858.34,2721.31,2521.4,2341.89,2876.18,2540.59,2443.21,2660.0,2298.21,2683.34,2667.24,2643.25,2302.05,2666.25,2695.2,2456.26,2588.05,2526.29,2592.21,2539.0,2147.54,2700.03,2578.77,2421.88,2674.75,2621.88,2877.71,2409.5,2893.03,2711.01,2635.28,2613.11,2605.68,2470.42,2680.98,2791.34,2346.66
