sp_composite_price,dividend,date
6.02,0,1899-12-01
6.1,0.22,1900-01-01
6.21,0.23,1900-02-01
6.26,0.23,1900-03-01
6.34,0.24,1900-04-01
6.04,0.25,1900-05-01
5.86,0.26,1900-06-01
5.86,0.26,1900-07-01
5.94,0.27,1900-08-01
5.8,0.28,1900-09-01
6.01,0.29,1900-10-01
6.48,0.29,1900-11-01
6.87,0.3,1900-12-01
7.07,0.3,1901-01-01
7.25,0.3,1901-02-01
7.51,0.31,1901-03-01
8.14,0.31,1901-04-01
7.73,0.31,1901-05-01
8.5,0.31,1901-06-01
7.93,0.31,1901-07-01
8.04,0.31,1901-08-01
8,0.32,1901-09-01
7.91,0.32,1901-10-01
8.08,0.32,1901-11-01
7.95,0.32,1901-12-01
8.12,0.32,1902-01-01
8.19,0.32,1902-02-01
8.2,0.32,1902-03-01
8.48,0.32,1902-04-01
8.46,0.32,1902-05-01
8.41,0.33,1902-06-01
8.6,0.33,1902-07-01
8.83,0.33,1902-08-01
8.85,0.33,1902-09-01
8.57,0.33,1902-10-01
8.24,0.33,1902-11-01
8.05,0.33,1902-12-01
8.46,0.33,1903-01-01
8.41,0.33,1903-02-01
8.08,0.34,1903-03-01
7.75,0.34,1903-04-01
7.6,0.34,1903-05-01
7.18,0.34,1903-06-01
6.85,0.34,1903-07-01
6.63,0.34,1903-08-01
6.47,0.35,1903-09-01
6.26,0.35,1903-10-01
6.28,0.35,1903-11-01
6.57,0.35,1903-12-01
6.68,0.35,1904-01-01
6.5,0.34,1904-02-01
6.48,0.34,1904-03-01
6.64,0.34,1904-04-01
6.5,0.33,1904-05-01
6.51,0.33,1904-06-01
6.78,0.33,1904-07-01
7.01,0.32,1904-08-01
7.32,0.32,1904-09-01
7.75,0.32,1904-10-01
8.17,0.31,1904-11-01
8.25,0.31,1904-12-01
8.43,0.31,1905-01-01
8.8,0.31,1905-02-01
9.05,0.32,1905-03-01
8.94,0.32,1905-04-01
8.5,0.32,1905-05-01
8.6,0.32,1905-06-01
8.87,0.32,1905-07-01
9.2,0.32,1905-08-01
9.23,0.33,1905-09-01
9.36,0.33,1905-10-01
9.31,0.33,1905-11-01
9.54,0.33,1905-12-01
9.87,0.34,1906-01-01
9.8,0.34,1906-02-01
9.56,0.35,1906-03-01
9.43,0.35,1906-04-01
9.18,0.36,1906-05-01
9.3,0.37,1906-06-01
9.06,0.37,1906-07-01
9.73,0.38,1906-08-01
10.03,0.38,1906-09-01
9.73,0.39,1906-10-01
9.93,0.39,1906-11-01
9.84,0.4,1906-12-01
9.56,0.4,1907-01-01
9.26,0.41,1907-02-01
8.35,0.41,1907-03-01
8.39,0.41,1907-04-01
8.1,0.42,1907-05-01
7.84,0.42,1907-06-01
8.14,0.42,1907-07-01
7.53,0.43,1907-08-01
7.45,0.43,1907-09-01
6.64,0.43,1907-10-01
6.25,0.44,1907-11-01
6.57,0.44,1907-12-01
6.85,0.44,1908-01-01
6.6,0.43,1908-02-01
6.87,0.43,1908-03-01
7.24,0.43,1908-04-01
7.63,0.42,1908-05-01
7.64,0.42,1908-06-01
7.92,0.42,1908-07-01
8.26,0.41,1908-08-01
8.17,0.41,1908-09-01
8.27,0.41,1908-10-01
8.83,0.4,1908-11-01
9.03,0.4,1908-12-01
9.06,0.4,1909-01-01
8.8,0.41,1909-02-01
8.92,0.41,1909-03-01
9.32,0.41,1909-04-01
9.63,0.42,1909-05-01
9.8,0.42,1909-06-01
9.94,0.42,1909-07-01
10.18,0.43,1909-08-01
10.19,0.43,1909-09-01
10.23,0.43,1909-10-01
10.18,0.44,1909-11-01
10.3,0.44,1909-12-01
10.08,0.44,1910-01-01
9.72,0.45,1910-02-01
9.96,0.45,1910-03-01
9.72,0.45,1910-04-01
9.56,0.45,1910-05-01
9.1,0.46,1910-06-01
8.64,0.46,1910-07-01
8.85,0.46,1910-08-01
8.91,0.46,1910-09-01
9.32,0.47,1910-10-01
9.31,0.47,1910-11-01
9.05,0.47,1910-12-01
9.27,0.47,1911-01-01
9.43,0.47,1911-02-01
9.32,0.47,1911-03-01
9.28,0.47,1911-04-01
9.48,0.47,1911-05-01
9.67,0.47,1911-06-01
9.63,0.47,1911-07-01
9.17,0.47,1911-08-01
8.67,0.47,1911-09-01
8.72,0.47,1911-10-01
9.07,0.47,1911-11-01
9.11,0.47,1911-12-01
9.12,0.47,1912-01-01
9.04,0.47,1912-02-01
9.3,0.47,1912-03-01
9.59,0.47,1912-04-01
9.58,0.47,1912-05-01
9.58,0.48,1912-06-01
9.59,0.48,1912-07-01
9.81,0.48,1912-08-01
9.86,0.48,1912-09-01
9.84,0.48,1912-10-01
9.73,0.48,1912-11-01
9.38,0.48,1912-12-01
9.3,0.48,1913-01-01
8.97,0.48,1913-02-01
8.8,0.48,1913-03-01
8.79,0.48,1913-04-01
8.55,0.48,1913-05-01
8.12,0.48,1913-06-01
8.23,0.48,1913-07-01
8.45,0.48,1913-08-01
8.53,0.48,1913-09-01
8.26,0.48,1913-10-01
8.05,0.48,1913-11-01
8.04,0.48,1913-12-01
8.37,0.48,1914-01-01
8.48,0.47,1914-02-01
8.32,0.47,1914-03-01
8.12,0.46,1914-04-01
8.17,0.46,1914-05-01
8.13,0.45,1914-06-01
7.68,0.45,1914-07-01
7.68,0.44,1914-08-01
7.68,0.44,1914-09-01
7.68,0.43,1914-10-01
7.68,0.43,1914-11-01
7.35,0.42,1914-12-01
7.48,0.42,1915-01-01
7.38,0.42,1915-02-01
7.57,0.42,1915-03-01
8.14,0.42,1915-04-01
7.95,0.42,1915-05-01
8.04,0.43,1915-06-01
8.01,0.43,1915-07-01
