,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
0,50.13,50.13,50.13,50.14,50.14,50.14,50.14,50.15,50.16,50.16,50.16,50.17,50.17,50.19,50.17,50.18,50.17,50.18,50.19,50.19,50.21,50.21,50.18,50.18,50.17,50.16,50.15,50.14,50.14,50.15,50.14,50.14,50.15,50.14,50.13,50.12,50.11,50.11,50.11,50.1,50.09,50.08,50.1,50.1,50.1,50.1,50.09,50.09,50.1,50.1,50.1,50.11,50.11,50.12,50.1,50.11,50.12,50.14,50.13,50.17,50.2,50.16,50.17,50.16,50.17,50.17,50.19,50.19,50.23,50.25,50.32,50.26,50.25,50.27,50.29,50.31,50.32,50.3,50.33,50.38,50.45,50.52,50.61,50.44,50.49,50.47,50.38,50.3,50.36,50.38,50.34,50.34,50.29,50.28,50.24,50.32,50.24,50.27,50.23,50.2
1,100.39,100.39,100.4,100.41,100.43,100.44,100.43,100.46,100.48,100.47,100.49,100.5,100.51,100.56,100.52,100.53,100.51,100.53,100.57,100.57,100.62,100.63,100.54,100.54,100.51,100.48,100.46,100.42,100.42,100.45,100.41,100.42,100.46,100.41,100.39,100.35,100.33,100.33,100.32,100.29,100.27,100.25,100.31,100.31,100.31,100.3,100.27,100.28,100.3,100.29,100.29,100.32,100.34,100.35,100.31,100.33,100.36,100.42,100.38,100.5,100.57,100.48,100.51,100.49,100.52,100.53,100.6,100.58,100.69,100.77,100.93,100.77,100.76,100.82,100.87,100.93,100.97,100.92,101.0,101.14,101.49,101.63,101.82,101.33,101.48,101.44,101.11,100.9,101.05,101.15,101.05,100.99,100.91,100.8,100.74,100.95,100.72,100.81,100.7,100.61
2,150.79,150.78,150.8,150.83,150.85,150.87,150.87,150.92,150.97,150.95,150.98,151.0,151.02,151.11,151.04,151.06,151.02,151.07,151.14,151.14,151.25,151.25,151.08,151.08,151.01,150.96,150.91,150.84,150.84,150.89,150.83,150.85,150.91,150.82,150.77,150.7,150.66,150.67,150.64,150.59,150.55,150.5,150.62,150.62,150.62,150.59,150.55,150.57,150.61,150.58,150.59,150.65,150.67,150.7,150.61,150.67,150.73,150.85,150.76,151.0,151.1,150.94,151.0,150.98,151.05,151.05,151.21,151.15,151.42,151.56,151.82,151.49,151.52,151.67,151.78,151.9,151.95,151.86,152.01,152.29,153.1,153.29,153.57,152.66,153.03,152.93,152.09,151.81,152.1,152.32,152.13,152.01,151.85,151.55,151.55,151.85,151.51,151.65,151.41,151.27
3,201.31,201.3,201.34,201.39,201.43,201.45,201.45,201.55,201.61,201.58,201.64,201.67,201.71,201.84,201.74,201.76,201.71,201.79,201.91,201.92,202.09,202.07,201.8,201.8,201.68,201.6,201.51,201.4,201.41,201.48,201.38,201.42,201.51,201.37,201.28,201.16,201.11,201.11,201.06,200.98,200.9,200.85,201.03,201.03,201.03,200.98,200.92,200.95,201.01,200.96,200.99,201.08,201.13,201.17,200.99,201.13,201.26,201.43,201.24,201.69,201.82,201.58,201.64,201.64,201.76,201.76,202.0,201.92,202.36,202.6,203.06,202.47,202.56,202.79,203.04,203.29,203.22,203.1,203.39,203.84,205.04,205.6,205.92,204.41,205.17,204.87,203.32,203.16,203.57,203.87,203.61,203.37,203.11,202.55,202.72,203.04,202.6,202.81,202.35,202.14
4,251.97,251.96,252.01,252.08,252.14,252.18,252.19,252.33,252.41,252.38,252.46,252.5,252.58,252.75,252.62,252.64,252.57,252.7,252.86,252.89,253.14,253.09,252.71,252.7,252.52,252.4,252.26,252.1,252.13,252.22,252.07,252.14,252.26,252.05,251.91,251.73,251.66,251.66,251.58,251.46,251.35,251.29,251.54,251.55,251.54,251.46,251.38,251.44,251.51,251.45,251.49,251.63,251.7,251.81,251.48,251.7,251.9,252.19,251.85,252.59,252.73,252.36,252.45,252.47,252.64,252.64,253.01,252.93,253.6,253.93,254.73,253.81,253.85,254.23,254.64,254.99,254.89,254.67,255.15,255.79,257.2,258.61,258.83,256.62,258.02,257.17,254.95,254.98,255.49,255.75,255.46,255.07,254.67,253.82,254.24,254.44,254.02,254.22,253.54,253.3
5,302.76,302.74,302.82,302.93,303.01,303.05,303.07,303.28,303.38,303.34,303.46,303.51,303.64,303.85,303.68,303.69,303.61,303.81,304.01,304.08,304.41,304.29,303.8,303.77,303.52,303.35,303.15,302.94,302.99,303.09,302.9,303.02,303.15,302.86,302.66,302.42,302.33,302.32,302.2,302.04,301.87,301.84,302.16,302.17,302.15,302.04,301.93,302.02,302.11,302.03,302.1,302.29,302.39,302.59,302.08,302.4,302.66,303.14,302.6,303.69,303.78,303.33,303.44,303.47,303.69,303.7,304.22,304.2,305.04,305.59,306.72,305.46,305.4,305.98,306.55,306.99,306.88,306.52,307.3,308.06,309.71,312.07,312.51,309.39,311.5,309.77,306.93,307.11,307.76,307.86,307.62,307.18,306.51,305.33,306.04,306.01,305.77,305.87,304.93,304.79
6,353.67,353.67,353.78,353.91,354.02,354.06,354.12,354.39,354.5,354.47,354.62,354.68,354.88,355.11,354.92,354.91,354.83,355.1,355.34,355.48,355.89,355.68,355.08,355.01,354.69,354.46,354.19,353.92,354.01,354.1,353.88,354.05,354.18,353.81,353.53,353.22,353.11,353.09,352.92,352.71,352.48,352.48,352.88,352.89,352.86,352.71,352.59,352.71,352.81,352.71,352.81,353.06,353.2,353.45,352.76,353.25,353.57,354.3,353.54,354.98,354.93,354.49,354.62,354.66,354.93,354.94,355.7,355.72,356.67,357.58,358.94,357.45,357.2,358.1,358.88,359.38,359.21,358.7,359.87,360.73,362.78,366.38,366.72,362.8,365.53,362.86,359.1,359.63,360.46,360.25,360.15,359.64,358.55,357.05,358.2,357.87,357.81,357.71,356.55,356.51
7,404.72,404.73,404.87,405.04,405.18,405.22,405.32,405.66,405.78,405.77,405.95,406.03,406.32,406.56,406.34,406.3,406.23,406.6,406.87,407.09,407.6,407.24,406.54,406.42,406.02,405.73,405.36,405.04,405.19,405.25,405.0,405.24,405.34,404.88,404.51,404.13,404.01,403.97,403.74,403.47,403.18,403.24,403.71,403.73,403.67,403.47,403.33,403.5,403.6,403.49,403.64,403.94,404.13,404.45,403.55,404.25,404.69,405.62,404.73,406.48,406.21,405.85,405.96,406.01,406.34,406.37,407.47,407.51,408.51,409.85,411.5,409.69,409.31,410.61,411.61,412.25,411.86,411.22,412.75,413.83,416.6,421.56,421.26,416.87,419.93,416.42,411.55,412.62,413.63,413.02,413.14,412.33,410.79,408.98,410.66,410.07,410.06,409.85,408.36,408.52
8,455.91,455.92,456.11,456.32,456.49,456.53,456.68,457.11,457.23,457.24,457.45,457.55,457.96,458.18,457.94,457.86,457.82,458.3,458.59,458.92,459.52,458.98,458.19,458.0,457.51,457.15,456.67,456.3,456.52,456.54,456.26,456.6,456.64,456.09,455.61,455.15,455.02,454.95,454.66,454.32,453.95,454.1,454.64,454.66,454.58,454.32,454.17,454.4,454.49,454.36,454.58,454.94,455.18,455.53,454.45,455.38,455.97,457.11,456.15,458.26,457.66,457.36,457.48,457.56,457.94,458.01,459.44,459.53,460.59,462.6,464.35,462.04,461.82,463.33,464.71,465.5,464.78,464.04,465.99,467.43,471.07,477.58,476.1,471.4,474.83,470.45,464.41,466.25,467.1,466.18,466.57,465.28,463.26,461.03,463.53,462.45,462.68,462.23,460.19,460.78
9,507.22,507.25,507.49,507.75,507.95,507.99,508.21,508.72,508.83,508.87,509.13,509.24,509.8,509.97,509.73,509.6,509.58,510.2,510.51,510.98,511.67,510.89,510.03,509.75,509.17,508.72,508.11,507.71,508.01,507.96,507.66,508.12,508.08,507.43,506.82,506.28,506.15,506.04,505.67,505.27,504.79,505.08,505.68,505.71,505.59,505.26,505.11,505.41,505.48,505.34,505.64,506.05,506.36,506.65,505.47,506.59,507.38,508.79,507.76,510.18,509.3,509.02,509.14,509.3,509.71,509.85,511.57,511.86,512.97,515.63,517.49,514.57,514.58,516.24,518.1,518.99,517.96,517.26,519.71,521.87,526.18,534.25,530.89,526.42,530.15,524.89,517.6,520.34,520.89,519.63,520.32,518.52,516.07,513.3,516.84,515.03,515.47,514.81,512.12,513.38
