,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
0,250.66,250.65,250.66,250.69,250.71,250.72,250.71,250.76,250.81,250.78,250.81,250.83,250.84,250.93,250.87,250.88,250.84,250.88,250.95,250.94,251.04,251.06,250.9,250.91,250.85,250.8,250.77,250.7,250.69,250.75,250.69,250.7,250.77,250.69,250.65,250.58,250.55,250.56,250.53,250.49,250.46,250.41,250.51,250.51,250.52,250.49,250.46,250.47,250.51,250.48,250.48,250.54,250.56,250.59,250.52,250.54,250.6,250.72,250.64,250.84,250.98,250.8,250.85,250.8,250.87,250.87,250.96,250.95,251.15,251.26,251.62,251.3,251.24,251.35,251.46,251.56,251.61,251.5,251.66,251.9,252.25,252.62,253.04,252.18,252.43,252.37,251.91,251.48,251.81,251.89,251.71,251.69,251.46,251.38,251.2,251.62,251.18,251.37,251.15,250.98
1,501.97,501.94,501.99,502.07,502.13,502.18,502.15,502.3,502.42,502.36,502.45,502.49,502.53,502.78,502.61,502.64,502.54,502.66,502.86,502.83,503.11,503.16,502.69,502.72,502.53,502.41,502.29,502.09,502.09,502.24,502.06,502.1,502.29,502.06,501.94,501.74,501.66,501.67,501.59,501.47,501.37,501.24,501.54,501.54,501.55,501.48,501.37,501.42,501.52,501.44,501.46,501.61,501.68,501.76,501.55,501.65,501.79,502.11,501.92,502.49,502.86,502.38,502.54,502.43,502.6,502.63,502.98,502.89,503.47,503.84,504.65,503.85,503.78,504.12,504.36,504.65,504.87,504.59,505.02,505.7,507.44,508.14,509.09,506.67,507.39,507.19,505.55,504.5,505.24,505.73,505.25,504.97,504.53,503.99,503.69,504.74,503.6,504.05,503.48,503.07
2,753.94,753.89,754.0,754.15,754.27,754.35,754.33,754.62,754.83,754.73,754.91,754.99,755.08,755.54,755.22,755.29,755.1,755.35,755.72,755.71,756.25,756.27,755.39,755.42,755.06,754.81,754.56,754.18,754.21,754.47,754.13,754.23,754.56,754.12,753.86,753.48,753.32,753.34,753.18,752.94,752.73,752.51,753.08,753.09,753.09,752.94,752.75,752.84,753.04,752.89,752.94,753.23,753.37,753.49,753.03,753.33,753.64,754.25,753.78,754.99,755.52,754.72,755.0,754.9,755.25,755.27,756.03,755.74,757.08,757.8,759.1,757.43,757.59,758.34,758.9,759.51,759.73,759.28,760.07,761.45,765.49,766.43,767.86,763.29,765.16,764.67,760.45,759.06,760.51,761.62,760.66,760.07,759.27,757.75,757.76,759.27,757.54,758.26,757.03,756.35
3,1006.57,1006.5,1006.68,1006.94,1007.13,1007.26,1007.25,1007.74,1008.05,1007.91,1008.2,1008.33,1008.54,1009.21,1008.72,1008.8,1008.53,1008.97,1009.53,1009.58,1010.44,1010.37,1009.01,1009.01,1008.42,1008.01,1007.57,1006.98,1007.06,1007.41,1006.89,1007.09,1007.56,1006.85,1006.41,1005.78,1005.54,1005.55,1005.28,1004.88,1004.52,1004.25,1005.14,1005.16,1005.14,1004.89,1004.59,1004.77,1005.05,1004.82,1004.93,1005.41,1005.65,1005.86,1004.95,1005.63,1006.3,1007.16,1006.19,1008.44,1009.11,1007.89,1008.22,1008.22,1008.79,1008.79,1010.01,1009.58,1011.81,1012.98,1015.31,1012.33,1012.79,1013.94,1015.21,1016.44,1016.09,1015.48,1016.93,1019.18,1025.2,1028.02,1029.62,1022.07,1025.85,1024.34,1016.6,1015.81,1017.85,1019.36,1018.06,1016.84,1015.56,1012.76,1013.61,1015.21,1013.01,1014.05,1011.76,1010.7
4,1259.84,1259.78,1260.06,1260.42,1260.72,1260.88,1260.93,1261.66,1262.06,1261.91,1262.32,1262.51,1262.9,1263.77,1263.12,1263.18,1262.84,1263.52,1264.31,1264.47,1265.7,1265.44,1263.55,1263.48,1262.6,1261.99,1261.31,1260.48,1260.64,1261.08,1260.35,1260.71,1261.3,1260.25,1259.56,1258.65,1258.32,1258.32,1257.88,1257.29,1256.74,1256.47,1257.71,1257.74,1257.69,1257.31,1256.9,1257.18,1257.56,1257.24,1257.44,1258.14,1258.5,1259.05,1257.42,1258.52,1259.52,1260.94,1259.25,1262.96,1263.67,1261.78,1262.27,1262.34,1263.2,1263.21,1265.03,1264.67,1267.98,1269.64,1273.65,1269.05,1269.24,1271.16,1273.2,1274.94,1274.43,1273.35,1275.75,1278.97,1286.02,1293.04,1294.14,1283.08,1290.11,1285.86,1274.74,1274.89,1277.45,1278.73,1277.32,1275.36,1273.36,1269.12,1271.18,1272.2,1270.1,1271.11,1267.7,1266.52
5,1513.78,1513.72,1514.12,1514.63,1515.04,1515.24,1515.37,1516.38,1516.88,1516.72,1517.29,1517.54,1518.18,1519.23,1518.4,1518.43,1518.03,1519.03,1520.03,1520.4,1522.04,1521.45,1518.99,1518.83,1517.62,1516.77,1515.77,1514.68,1514.97,1515.45,1514.52,1515.09,1515.74,1514.31,1513.31,1512.08,1511.67,1511.62,1511.0,1510.18,1509.37,1509.18,1510.8,1510.84,1510.74,1510.2,1509.67,1510.11,1510.56,1510.14,1510.48,1511.43,1511.95,1512.96,1510.41,1512.01,1513.29,1515.72,1512.98,1518.43,1518.91,1516.66,1517.2,1517.37,1518.46,1518.51,1521.11,1521.01,1525.22,1527.96,1533.6,1527.3,1526.98,1529.9,1532.77,1534.93,1534.41,1532.59,1536.51,1540.32,1548.53,1560.36,1562.55,1546.94,1557.51,1548.86,1534.65,1535.56,1538.81,1539.28,1538.11,1535.88,1532.57,1526.66,1530.18,1530.03,1528.85,1529.34,1524.66,1523.97
6,1768.37,1768.33,1768.88,1769.55,1770.1,1770.31,1770.59,1771.93,1772.5,1772.37,1773.09,1773.42,1774.41,1775.57,1774.59,1774.53,1774.13,1775.52,1776.72,1777.39,1779.47,1778.39,1775.38,1775.03,1773.45,1772.32,1770.94,1769.59,1770.06,1770.51,1769.4,1770.25,1770.88,1769.03,1767.64,1766.08,1765.57,1765.47,1764.61,1763.54,1762.42,1762.4,1764.41,1764.47,1764.29,1763.54,1762.93,1763.55,1764.06,1763.54,1764.06,1765.28,1766.0,1767.27,1763.79,1766.27,1767.86,1771.5,1767.69,1774.92,1774.66,1772.44,1773.11,1773.29,1774.63,1774.7,1778.52,1778.62,1783.36,1787.91,1794.69,1787.27,1786.02,1790.48,1794.38,1796.92,1796.06,1793.48,1799.37,1803.67,1813.9,1831.9,1833.62,1813.98,1827.63,1814.32,1795.5,1798.14,1802.31,1801.24,1800.73,1798.19,1792.73,1785.26,1791.01,1789.34,1789.04,1788.56,1782.73,1782.53
7,2023.61,2023.63,2024.35,2025.21,2025.91,2026.12,2026.61,2028.32,2028.92,2028.86,2029.75,2030.16,2031.62,2032.8,2031.69,2031.49,2031.15,2033.0,2034.37,2035.45,2037.99,2036.22,2032.7,2032.09,2030.1,2028.66,2026.8,2025.2,2025.93,2026.27,2024.99,2026.21,2026.7,2024.42,2022.57,2020.63,2020.06,2019.85,2018.7,2017.35,2015.88,2016.18,2018.56,2018.63,2018.35,2017.35,2016.65,2017.51,2018.02,2017.43,2018.2,2019.69,2020.65,2022.23,2017.75,2021.26,2023.46,2028.12,2023.64,2032.39,2031.07,2029.24,2029.82,2030.04,2031.7,2031.87,2037.34,2037.55,2042.54,2049.27,2057.52,2048.44,2046.56,2053.06,2058.07,2061.25,2059.3,2056.08,2063.73,2069.13,2082.99,2107.82,2106.29,2084.36,2099.66,2082.09,2057.73,2063.09,2068.15,2065.1,2065.69,2061.67,2053.95,2044.9,2053.32,2050.37,2050.32,2049.27,2041.78,2042.59
8,2279.53,2279.6,2280.53,2281.6,2282.45,2282.67,2283.42,2285.53,2286.14,2286.19,2287.27,2287.76,2289.79,2290.9,2289.7,2289.31,2289.08,2291.48,2292.97,2294.61,2297.62,2294.91,2290.96,2290.0,2287.56,2285.76,2283.34,2281.51,2282.59,2282.7,2281.28,2282.98,2283.21,2280.45,2278.06,2275.74,2275.11,2274.77,2273.3,2271.62,2269.73,2270.5,2273.22,2273.32,2272.91,2271.6,2270.86,2272.01,2272.46,2271.82,2272.91,2274.69,2275.91,2277.66,2272.25,2276.88,2279.86,2285.57,2280.76,2291.3,2288.29,2286.8,2287.38,2287.79,2289.69,2290.03,2297.21,2297.65,2302.97,2312.99,2321.73,2310.2,2309.1,2316.67,2323.54,2327.48,2323.91,2320.18,2329.97,2337.16,2355.37,2387.92,2380.52,2357.02,2374.17,2352.24,2322.05,2331.25,2335.5,2330.9,2332.84,2326.41,2316.28,2305.15,2317.64,2312.26,2313.41,2311.16,2300.96,2303.9
9,2536.08,2536.26,2537.43,2538.73,2539.75,2539.93,2541.04,2543.6,2544.15,2544.37,2545.64,2546.22,2548.98,2549.86,2548.63,2547.98,2547.92,2550.99,2552.55,2554.9,2558.36,2554.45,2550.15,2548.76,2545.83,2543.62,2540.56,2538.54,2540.04,2539.81,2538.31,2540.58,2540.39,2537.13,2534.11,2531.38,2530.73,2530.22,2528.36,2526.35,2523.97,2525.4,2528.42,2528.53,2527.96,2526.29,2525.55,2527.03,2527.38,2526.69,2528.18,2530.26,2531.79,2533.26,2527.35,2532.94,2536.91,2543.95,2538.78,2550.89,2546.52,2545.09,2545.69,2546.48,2548.55,2549.24,2557.85,2559.29,2564.84,2578.16,2587.44,2572.85,2572.91,2581.19,2590.48,2594.97,2589.8,2586.29,2598.54,2609.36,2630.88,2671.23,2654.44,2632.1,2650.76,2624.45,2587.98,2601.72,2604.46,2598.13,2601.61,2592.58,2580.37,2566.5,2584.2,2575.15,2577.36,2574.03,2560.59,2566.91
